Player,Nationality,Role,Team,Price,Season
Aaron Finch,Overseas,Batsman,Sunrisers Hyderabad,4,2014
Aaron Finch,Overseas,Batsman,Mumbai Indians,3.2,2015
Aaron Finch,Overseas,Batsman,Gujarat Lions,1,2016
Aaron Finch,Overseas,Batsman,Punjab Kings,6.2,2018
Aaron Finch,Overseas,Batsman,Royal Challengers Bengaluru,4.4,2020
Abdul Samad,Indian,All-Rounder,Sunrisers Hyderabad,0.2,2020
Abhijeet Tomar,Indian,Batsman,Kolkata Knight Riders,0.4,2022
Abhimanyu Mithun,Indian,Bowler,Mumbai Indians,0.3,2015
Abhimanyu Mithun,Indian,Bowler,Sunrisers Hyderabad,0.3,2016
Abhinav Sadarangani,Indian,Batsman,Gujarat Titans,2.6,2022
Abhishek Nayar,Indian,All-Rounder,Pune Warriors India,5.0625,2013
Abhishek Nayar,Indian,All-Rounder,Rajasthan Royals,1,2014
Abhishek Sharma,Indian,All-Rounder,Delhi Capitals,0.55,2018
Abhishek Sharma,Indian,All-Rounder,Sunrisers Hyderabad,6.5,2022
Abu Nechim Ahmed,Indian,Bowler,Royal Challengers Bengaluru,0.3,2014
Adam Milne,Overseas,Bowler,Royal Challengers Bengaluru,0.7,2015
Adam Milne,Overseas,Bowler,Mumbai Indians,3.2,2021
Adam Milne,Overseas,Bowler,Chennai Super Kings,1.9,2022
Adam Zampa,Overseas,Bowler,Rising Pune Supergiants,0.3,2016
Aditya Garhwal,Indian,All-Rounder,Kolkata Knight Riders,0.25,2015
Aditya Tare,Indian,Wicket Keeper,Mumbai Indians,1.6,2014
Aditya Tare,Indian,Wicket Keeper,Sunrisers Hyderabad,1.2,2016
Aditya Tare,Indian,Wicket Keeper,Delhi Capitals,0.25,2017
Aditya Tare,Indian,Wicket Keeper,Mumbai Indians,0.2,2018
Agnivesh Ayachi,Indian,All-Rounder,Punjab Kings,0.2,2019
Aiden Blizzard,Overseas,Batsman,Mumbai Indians,0.3,2015
Aiden Markram,Overseas,Batsman,Sunrisers Hyderabad,2.6,2022
Ajantha Mendis,Overseas,Bowler,Pune Warriors India,5.4375,2013
Ajinkya Rahane,Indian,Batsman,Rajasthan Royals,4,2018
Ajinkya Rahane,Indian,Batsman,Kolkata Knight Riders,1,2022
Akash Deep,Indian,Bowler,Royal Challengers Bengaluru,0.2,2022
Akash Singh,Indian,Bowler,Rajasthan Royals,0.2,2020
Akash Singh,Indian,Bowler,Rajasthan Royals,0.2,2021
Akhil Arvind Herwadkar,Indian,All-Rounder,Delhi Capitals,0.1,2016
Akila Dananjaya,Overseas,All-Rounder,Chennai Super Kings,0.15,2013
Akila Dhananjaya,Overseas,Bowler,Mumbai Indians,0.5,2018
Akshar Rajesh Patel,Indian,All-Rounder,Punjab Kings,0.75,2014
Akshay Karnewar,Indian,All-Rounder,Royal Challengers Bengaluru,0.1,2016
Akshay Wakhare,Indian,Bowler,Mumbai Indians,0.1,2015
Akshdeep Nath,Indian,All-Rounder,Gujarat Lions,0.1,2016
Akshdeep Nath,Indian,All-Rounder,Gujarat Lions,0.1,2017
Akshdeep Nath,Indian,All-Rounder,Punjab Kings,1,2018
Akshdeep Nath,Indian,All-Rounder,Royal Challengers Bengaluru,3.6,2019
Albie Morkel,Overseas,All-Rounder,Royal Challengers Bengaluru,2.4,2014
Albie Morkel,Overseas,All-Rounder,Delhi Capitals,0.3,2015
Alex Carey,Overseas,Wicket Keeper,Delhi Capitals,2.4,2020
Alex Hales,Overseas,Batsman,Kolkata Knight Riders,1.5,2022
Alzarri Joseph,Overseas,Bowler,Gujarat Titans,2.4,2022
Aman Khan,Indian,All-Rounder,Kolkata Knight Riders,0.2,2022
Ambati Rayudu,Indian,Wicket Keeper,Chennai Super Kings,2.2,2018
Ambati Rayudu,Indian,Wicket Keeper,Chennai Super Kings,6.75,2022
Amit Mishra,Indian,Bowler,Rajasthan Royals,0.1,2014
Amit Mishra,Indian,Bowler,Sunrisers Hyderabad,4.75,2014
Amit Mishra,Indian,Bowler,Delhi Capitals,3.5,2015
Amit Mishra,Indian,Bowler,Gujarat Lions,0.1,2016
Amit Mishra,Indian,Bowler,Delhi Capitals,4,2018
Amit Paunikar,Indian,Wicket Keeper,Sunrisers Hyderabad,0.2,2014
Andre Russell,Overseas,All-Rounder,Kolkata Knight Riders,0.6,2014
Andrew Tye,Overseas,Bowler,Chennai Super Kings,0.2,2015
Andrew Tye,Overseas,All-Rounder,Gujarat Lions,0.5,2016
Andrew Tye,Overseas,Bowler,Punjab Kings,7.2,2018
Andrew Tye,Overseas,Bowler,Rajasthan Royals,1,2020
Aneeshwar Gautam,Indian,All-Rounder,Royal Challengers Bengaluru,0.2,2022
Angelo Mathews,Overseas,All-Rounder,Delhi Capitals,7.5,2015
Angelo Mathews,Overseas,All-Rounder,Delhi Capitals,2,2017
Aniket Choudhary,Indian,Bowler,Royal Challengers Bengaluru,2,2017
Aniket Choudhary,Indian,Bowler,Royal Challengers Bengaluru,0.3,2018
Anirudha Ashok Joshi,Indian,All-Rounder,Royal Challengers Bengaluru,0.2,2018
Anirudha Ashok Joshi,Indian,All-Rounder,Rajasthan Royals,0.2,2020
Ankeet Bawane,Indian,Batsman,Delhi Capitals,0.1,2017
Ankit Nagendra Sharma,Indian,Bowler,Rajasthan Royals,0.1,2014
Ankit Sharma,Indian,All-Rounder,Rising Pune Supergiants,0.1,2016
Ankit Sharma,Indian,All-Rounder,Rajasthan Royals,0.2,2018
Ankit Singh Rajpoot,Indian,Bowler,Kolkata Knight Riders,1.5,2016
Ankit Singh Rajpoot,Indian,Bowler,Punjab Kings,3,2018
Ankit Singh Rajpoot,Indian,Bowler,Lucknow Super Giants,0.5,2022
Ankush Bains,Indian,Wicket Keeper,Rajasthan Royals,0.1,2014
Ankush Bains,Indian,Wicket Keeper,Chennai Super Kings,0.1,2015
Ankush Bains,Indian,Wicket Keeper,Rising Pune Supergiants,0.1,2016
Ankush Bains,Indian,Wicket Keeper,Delhi Capitals,0.2,2019
Anmolpreet Singh,Indian,Batsman,Mumbai Indians,0.8,2019
Anmolpreet Singh,Indian,Batsman,Mumbai Indians,0.2,2022
Anrich Nortje,Overseas,Bowler,Kolkata Knight Riders,0.2,2019
Ansh Patel,Indian,All-Rounder,Punjab Kings,0.2,2022
Anuj Rawat,Indian,Wicket Keeper,Rajasthan Royals,0.8,2020
Anuj Rawat,Indian,Wicket Keeper,Royal Challengers Bengaluru,3.4,2022
Anukul Roy,Indian,All-Rounder,Mumbai Indians,0.2,2018
Anukul Roy,Indian,All-Rounder,Kolkata Knight Riders,0.2,2022
Anunay Singh,Indian,All-Rounder,Rajasthan Royals,0.2,2022
Anureet Singh,Indian,Bowler,Punjab Kings,0.2,2014
Anureet Singh,Indian,Bowler,Rajasthan Royals,0.3,2018
Apoorv Vijay Wankhade,Indian,Batsman,Mumbai Indians,0.1,2014
Apoorv Vijay Wankhade,Indian,Batsman,Kolkata Knight Riders,0.2,2018
Arjun Tendulkar,Indian,All-Rounder,Mumbai Indians,0.2,2021
Arjun Tendulkar,Indian,All-Rounder,Mumbai Indians,0.3,2022
Armaan Jaffer,Indian,Batsman,Punjab Kings,0.1,2016
Arshdeep Singh,Indian,Bowler,Punjab Kings,0.2,2019
Aryaman Vikram Birla,Indian,All-Rounder,Rajasthan Royals,0.3,2018
Aryan Juyal,Indian,Wicket Keeper,Mumbai Indians,0.2,2022
Asela Gunarathna,Overseas,Batsman,Mumbai Indians,0.3,2017
Ashish Nehra,Indian,Bowler,Chennai Super Kings,2,2014
Ashish Nehra,Indian,Bowler,Sunrisers Hyderabad,5.5,2016
Ashish Reddy,Indian,Bowler,Sunrisers Hyderabad,0.2,2014
Ashok Dinda,Indian,Bowler,Royal Challengers Bengaluru,1.5,2014
Ashok Dinda,Indian,Bowler,Rising Pune Supergiants,0.5,2016
Ashok Sharma,Indian,Bowler,Kolkata Knight Riders,0.55,2022
Ashton Turner,Indian,All-Rounder,Rajasthan Royals,0.5,2019
Ashwin Hebbar,Indian,Batsman,Delhi Capitals,0.2,2022
Asif K M,Indian,Bowler,Chennai Super Kings,0.4,2018
Atharva Taide,Indian,All-Rounder,Punjab Kings,0.2,2022
Avesh Khan,Indian,Bowler,Delhi Capitals,0.7,2018
Avesh Khan,Indian,Bowler,Lucknow Super Giants,10,2022
Axar Rajesh Patel,Indian,All-Rounder,Delhi Capitals,5,2019
Ayush Badoni,Indian,All-Rounder,Lucknow Super Giants,0.2,2022
B. Sai Sudharsan,Indian,All-Rounder,Gujarat Titans,0.2,2022
Baba Aparajith,Indian,Batsman,Chennai Super Kings,0.1,2014
Baba Aparajith,Indian,All-Rounder,Rising Pune Supergiants,0.1,2016
Baba Indrajith,Indian,Wicket Keeper,Kolkata Knight Riders,0.2,2022
Baltej Dhanda,Indian,Bowler,Punjab Kings,0.2,2022
Bandaru Ayyappa,Indian,Bowler,Delhi Capitals,0.2,2019
Barinder Singh Saran,Indian,Bowler,Rajasthan Royals,0.1,2015
Barinder Singh Sran,Indian,Bowler,Sunrisers Hyderabad,1.2,2016
Barinder Singh Sran,Indian,Bowler,Punjab Kings,2.2,2018
Barinder Singh Sran,Indian,Bowler,Mumbai Indians,3.4,2019
Basil Thampi,Indian,Bowler,Gujarat Lions,0.85,2017
Basil Thampi,Indian,Bowler,Sunrisers Hyderabad,0.95,2018
Basil Thampi,Indian,Bowler,Mumbai Indians,0.3,2022
Ben Cutting,Overseas,Bowler,Rajasthan Royals,0.8,2014
Ben Cutting,Overseas,All-Rounder,Sunrisers Hyderabad,0.5,2016
Ben Cutting,Overseas,All-Rounder,Mumbai Indians,2.2,2018
Ben Cutting,Overseas,All-Rounder,Kolkata Knight Riders,0.75,2021
Ben Dunk,Overseas,Wicket Keeper,Mumbai Indians,0.2,2014
Ben Dwarshuis,Overseas,Bowler,Punjab Kings,1.4,2018
Ben Hilfenhaus,Overseas,Bowler,Chennai Super Kings,1,2014
Ben Laughlin,Overseas,Bowler,Chennai Super Kings,0.15,2013
Ben Laughlin,Overseas,Bowler,Sunrisers Hyderabad,0.3,2017
Ben Laughlin,Overseas,Bowler,Rajasthan Royals,0.5,2018
Benjamin Stokes,Overseas,All-Rounder,Rising Pune Supergiants,14.5,2017
Benjamin Stokes,Overseas,All-Rounder,Rajasthan Royals,12.5,2018
Benny Howell,Overseas,All-Rounder,Punjab Kings,0.4,2022
Beuran Hendricks,Overseas,Bowler,Punjab Kings,1.8,2014
Bhanuka Rajapaksa,Overseas,Batsman,Punjab Kings,0.5,2022
Bhuvneshwar Kumar,Overseas,Bowler,Sunrisers Hyderabad,4.25,2014
Bhuvneshwar Kumar,Indian,Bowler,Sunrisers Hyderabad,4.2,2022
Billy Stanlake,Overseas,Bowler,Royal Challengers Bengaluru,0.3,2017
Billy Stanlake,Overseas,Batsman,Sunrisers Hyderabad,0.5,2018
Bipul Sharma,Indian,All-Rounder,Sunrisers Hyderabad,0.2,2018
Brad Hodge,Overseas,Batsman,Rajasthan Royals,2.4,2014
Brad Hogg,Overseas,Bowler,Kolkata Knight Riders,0.5,2015
Brendan Taylor,Overseas,Wicket Keeper,Sunrisers Hyderabad,0.3,2014
Brendon McCullum,Overseas,Wicket Keeper,Chennai Super Kings,3.25,2014
Brendon McCullum,Overseas,Batsman,Royal Challengers Bengaluru,3.6,2018
C Hari Nishaanth,Indian,Batsman,Chennai Super Kings,0.2,2021
C.Hari Nishaanth,Indian,Batsman,Chennai Super Kings,0.2,2022
C.M. Gautam,Indian,Wicket Keeper,Mumbai Indians,0.2,2014
C.M. Gautam,Indian,Wicket Keeper,Delhi Capitals,0.2,2015
Cameron Delport,Overseas,All-Rounder,Kolkata Knight Riders,0.3,2018
Carlos Brathwaite,Overseas,All-Rounder,Delhi Capitals,4.2,2016
Carlos Brathwaite,Overseas,All-Rounder,Sunrisers Hyderabad,2,2018
Carlos Brathwaite,Overseas,All-Rounder,Kolkata Knight Riders,5,2019
Chaitanya Bishnoi,Indian,All-Rounder,Chennai Super Kings,0.2,2018
Chama Milind,Indian,Bowler,Sunrisers Hyderabad,0.1,2014
Chama Milind,Indian,Bowler,Delhi Capitals,0.1,2016
Chama Milind,Indian,Bowler,Royal Challengers Bengaluru,0.25,2022
Chamika Karunaratne,Overseas,All-Rounder,Kolkata Knight Riders,0.5,2022
Chetan Sakariya,Indian,Bowler,Rajasthan Royals,1.2,2021
Chetan Sakariya,Indian,Bowler,Delhi Capitals,4.2,2022
Cheteshwar Pujara,Indian,Batsman,Punjab Kings,1.9,2014
Cheteshwar Pujara,Indian,Batsman,Chennai Super Kings,0.5,2021
Chirag Suri,Indian,Batsman,Gujarat Lions,0.1,2017
Chris Green,Overseas,All-Rounder,Kolkata Knight Riders,0.2,2020
Chris Jordan,Overseas,All-Rounder,Sunrisers Hyderabad,0.5,2017
Chris Jordan,Overseas,All-Rounder,Sunrisers Hyderabad,1,2018
Chris Jordan,Overseas,All-Rounder,Punjab Kings,3,2020
Chris Jordan,Overseas,All-Rounder,Chennai Super Kings,3.6,2022
Chris Lynn,Overseas,Batsman,Kolkata Knight Riders,1.3,2014
Chris Lynn,Overseas,Batsman,Kolkata Knight Riders,9.6,2018
Chris Lynn,Overseas,Batsman,Mumbai Indians,2,2020
Chris Woakes,Overseas,All-Rounder,Kolkata Knight Riders,4.2,2017
Chris Woakes,Overseas,All-Rounder,Royal Challengers Bengaluru,7.4,2018
Chris Woakes,Overseas,All-Rounder,Delhi Capitals,1.5,2020
Christopher Barnwell,Overseas,All-Rounder,Royal Challengers Bengaluru,0.375,2013
Christopher Gayle,Overseas,Batsman,Punjab Kings,2,2018
Christopher Morris,Overseas,All-Rounder,Chennai Super Kings,4.6875,2013
Christopher Morris,Overseas,All-Rounder,Rajasthan Royals,1.4,2015
Christopher Morris,Overseas,All-Rounder,Delhi Capitals,7,2016
Christopher Morris,Overseas,All-Rounder,Royal Challengers Bengaluru,10,2020
Christopher Morris,Overseas,All-Rounder,Rajasthan Royals,16.25,2021
Clinton McKay,Overseas,Bowler,Sunrisers Hyderabad,0.75,2013
Colin De Grandhomme,Overseas,All-Rounder,Royal Challengers Bengaluru,2.2,2018
Colin Ingram,Overseas,Batsman,Delhi Capitals,6.4,2019
Colin Munro,Overseas,All-Rounder,Kolkata Knight Riders,0.3,2016
Colin Munro,Overseas,All-Rounder,Delhi Capitals,1.9,2018
Corey Anderson,Overseas,All-Rounder,Mumbai Indians,4.5,2014
Corey Anderson,Overseas,All-Rounder,Delhi Capitals,1,2017
Dale Steyn,Overseas,Bowler,Gujarat Lions,2.3,2016
Dale Steyn,Overseas,Bowler,Royal Challengers Bengaluru,2,2020
Dan Christian,Overseas,All-Rounder,Royal Challengers Bengaluru,4.8,2021
Daniel Christian,Overseas,All-Rounder,Royal Challengers Bengaluru,0.75,2013
Daniel Christian,Overseas,All-Rounder,Rising Pune Supergiants,1,2017
Daniel Christian,Overseas,All-Rounder,Delhi Capitals,1.5,2018
Daniel Sams,Overseas,All-Rounder,Mumbai Indians,2.6,2022
Darcy Short,Overseas,All-Rounder,Rajasthan Royals,4,2018
Darren Bravo,Overseas,Batsman,Kolkata Knight Riders,0.5,2017
Darren Sammy,Overseas,All-Rounder,Sunrisers Hyderabad,3.1875,2013
Darren Sammy,Overseas,All-Rounder,Sunrisers Hyderabad,3.5,2014
Darren Sammy,Overseas,All-Rounder,Royal Challengers Bengaluru,2.8,2015
Darren Sammy,Overseas,All-Rounder,Punjab Kings,0.3,2017
Darshan Nalkande,Indian,All-Rounder,Punjab Kings,0.3,2019
Darshan Nalkande,Indian,All-Rounder,Gujarat Titans,0.2,2022
Daryl Mitchell,Overseas,All-Rounder,Rajasthan Royals,0.75,2022
David Miller,Overseas,Batsman,Punjab Kings,3,2018
David Miller,Overseas,Batsman,Rajasthan Royals,0.75,2020
David Miller,Overseas,Batsman,Gujarat Titans,3,2022
David Warner,Overseas,Batsman,Sunrisers Hyderabad,5.5,2014
David Warner,Overseas,Batsman,Delhi Capitals,6.25,2022
David Wiese,Overseas,All-Rounder,Royal Challengers Bengaluru,2.8,2015
David Willey,Overseas,All-Rounder,Royal Challengers Bengaluru,2,2022
Dawid Malan,Overseas,All-Rounder,Punjab Kings,1.5,2021
Debabrata Das,Indian,Wicket Keeper,Kolkata Knight Riders,0.2,2014
Deepak Chahar,Indian,All-Rounder,Rising Pune Supergiants,0.1,2016
Deepak Chahar,Indian,All-Rounder,Chennai Super Kings,0.8,2018
Deepak Chahar,Indian,Bowler,Chennai Super Kings,14,2022
Deepak Hooda,Indian,Bowler,Rajasthan Royals,0.4,2014
Deepak Hooda,Indian,All-Rounder,Sunrisers Hyderabad,4.2,2016
Deepak Hooda,Indian,All-Rounder,Sunrisers Hyderabad,3.6,2018
Deepak Hooda,Indian,All-Rounder,Punjab Kings,0.5,2020
Deepak Hooda,Indian,All-Rounder,Lucknow Super Giants,5.75,2022
Deepak Punia,Indian,All-Rounder,Mumbai Indians,0.1,2016
Devdutt Padikkal,Indian,Batsman,Royal Challengers Bengaluru,0.2,2019
Devdutt Padikkal,Indian,Batsman,Rajasthan Royals,7.75,2022
Devon Conway,Overseas,Batsman,Chennai Super Kings,1,2022
Dewald Brevis,Overseas,Batsman,Mumbai Indians,3,2022
Dhawal Kulkarni,Indian,Bowler,Rajasthan Royals,1.1,2014
Dhawal Kulkarni,Indian,Bowler,Gujarat Lions,2,2016
Dhawal Kulkarni,Indian,Bowler,Rajasthan Royals,0.75,2018
Dhruv Jurel,Indian,Wicket Keeper,Rajasthan Royals,0.2,2022
Dhruv Shorey,Indian,All-Rounder,Chennai Super Kings,0.2,2018
Digvijay Deshmukh,Indian,All-Rounder,Mumbai Indians,0.2,2020
Dinesh Karthik,Indian,Wicket Keeper,Delhi Capitals,12.5,2014
Dinesh Karthik,Indian,Wicket Keeper,Royal Challengers Bengaluru,10.5,2015
Dinesh Karthik,Indian,Wicket Keeper,Gujarat Lions,2.3,2016
Dinesh Karthik,Indian,Wicket Keeper,Kolkata Knight Riders,7.4,2018
Dinesh Karthik,Indian,Wicket Keeper,Royal Challengers Bengaluru,5.5,2022
Dinesh Salunkhe,Indian,All-Rounder,Rajasthan Royals,0.1,2015
Dirk Nannes,Overseas,Bowler,Chennai Super Kings,4.5,2013
Dishant Yagnik,Indian,Wicket Keeper,Rajasthan Royals,0.3,2014
Dominic Drakes,Overseas,All-Rounder,Gujarat Titans,1.1,2022
Domnic Joseph Muthuswamy,Overseas,Bowler,Delhi Capitals,0.75,2015
Dushmanta Chameera,Overseas,Bowler,Lucknow Super Giants,2,2022
Dushmantha Chameera,Overseas,Bowler,Rajasthan Royals,0.5,2018
Dwaine Pretorius,Overseas,All-Rounder,Chennai Super Kings,0.5,2022
Dwayne Bravo,Overseas,All-Rounder,Chennai Super Kings,6.4,2018
Dwayne Bravo,Overseas,All-Rounder,Chennai Super Kings,4.4,2022
Dwayne Smith,Overseas,Batsman,Chennai Super Kings,4.5,2014
Dwayne Smith,Overseas,All-Rounder,Gujarat Lions,2.3,2016
Eklavya Dwivedi,Indian,Wicket Keeper,Chennai Super Kings,0.1,2015
Eklavya Dwivedi,Indian,Wicket Keeper,Gujarat Lions,1,2016
Eklavya Dwivedi,Indian,Wicket Keeper,Sunrisers Hyderabad,0.75,2017
Eoin Morgan,Overseas,Batsman,Sunrisers Hyderabad,1.5,2015
Eoin Morgan,Overseas,Batsman,Punjab Kings,2,2017
Eoin Morgan,Overseas,Batsman,Kolkata Knight Riders,5.25,2020
Evin Lewis,Overseas,Batsman,Mumbai Indians,3.8,2018
Evin Lewis,Overseas,Batsman,Lucknow Super Giants,2,2022
Fabian Allen,Overseas,All-Rounder,Sunrisers Hyderabad,0.5,2020
Fabian Allen,Overseas,All-Rounder,Punjab Kings,0.75,2021
Fabian Allen,Overseas,All-Rounder,Mumbai Indians,0.75,2022
Faf Du Plessis,Overseas,Batsman,Chennai Super Kings,4.75,2014
Faf Du Plessis,Overseas,Batsman,Chennai Super Kings,1.6,2018
Faf Du Plessis,Overseas,Batsman,Royal Challengers Bengaluru,7,2022
Farhaan Behardien,Overseas,All-Rounder,Punjab Kings,0.3,2016
Fazalhaq Farooqi,Overseas,Bowler,Sunrisers Hyderabad,0.5,2022
Fidel Edwards,Overseas,Bowler,Rajasthan Royals,1.575,2013
Finn Allen,Overseas,Batsman,Royal Challengers Bengaluru,0.8,2022
Gautam Gambhir,Indian,Batsman,Delhi Capitals,2.8,2018
George Bailey,Overseas,Batsman,Punjab Kings,3.25,2014
Glenn Maxwell,Overseas,All-Rounder,Mumbai Indians,7.5,2013
Glenn Maxwell,Overseas,All-Rounder,Punjab Kings,6,2014
Glenn Maxwell,Overseas,All-Rounder,Delhi Capitals,9,2018
Glenn Maxwell,Overseas,All-Rounder,Punjab Kings,10.75,2020
Glenn Maxwell,Overseas,All-Rounder,Royal Challengers Bengaluru,14.25,2021
Glenn Phillips,Overseas,Wicket Keeper,Sunrisers Hyderabad,1.5,2022
Gurinder Sandhu,Indian,Bowler,Delhi Capitals,1.7,2015
Gurkeerat Singh Mann,Indian,All-Rounder,Gujarat Titans,0.5,2022
Gurkeerat Singh Mann,Indian,All-Rounder,Delhi Capitals,0.75,2018
Gurkeerat Singh Mann,Indian,All-Rounder,Royal Challengers Bengaluru,0.5,2019
Gurkeerat Singh Mann,Indian,Batsman,Punjab Kings,1.3,2014
Hanuma Vihari,Indian,Batsman,Sunrisers Hyderabad,0.1,2015
Hanuma Vihari,Indian,Batsman,Delhi Capitals,2,2019
Harbhajan Singh,Indian,Bowler,Chennai Super Kings,2,2018
Harbhajan Singh,Indian,Bowler,Kolkata Knight Riders,2,2021
Hardik Pandya,Indian,All-Rounder,Mumbai Indians,0.1,2015
Hardus Viljoen,Overseas,Bowler,Punjab Kings,0.75,2019
Harpreet Brar,Indian,All-Rounder,Punjab Kings,0.2,2019
Harpreet Brar,Indian,All-Rounder,Punjab Kings,3.8,2022
Harry Gurney,Overseas,Bowler,Kolkata Knight Riders,0.75,2019
Harshal Patel,Indian,Bowler,Royal Challengers Bengaluru,0.4,2014
Harshal Patel,Indian,All-Rounder,Delhi Capitals,0.2,2018
Harshal Patel,Indian,All-Rounder,Royal Challengers Bengaluru,10.75,2022
Heinrich Klaasen,Overseas,Wicket Keeper,Royal Challengers Bengaluru,0.5,2019
Himmat Singh,Indian,Batsman,Royal Challengers Bengaluru,0.65,2019
Hrithik Shokeen,Indian,All-Rounder,Mumbai Indians,0.2,2022
HS Sharath,Indian,Bowler,Delhi Capitals,0.1,2014
Imran Tahir,Overseas,Bowler,Chennai Super Kings,1,2018
Iqbal Abdullah,Indian,All-Rounder,Rajasthan Royals,0.65,2014
Iqbal Abdullah,Indian,All-Rounder,Royal Challengers Bengaluru,0.1,2016
Irfan Pathan,Indian,All-Rounder,Sunrisers Hyderabad,2.4,2014
Irfan Pathan,Indian,All-Rounder,Chennai Super Kings,1.5,2015
Irfan Pathan,Indian,All-Rounder,Rising Pune Supergiants,1,2016
Ishan Kishan,Indian,Wicket Keeper,Gujarat Lions,0.35,2016
Ishan Kishan,Indian,Wicket Keeper,Mumbai Indians,6.2,2018
Ishan Kishan,Indian,Wicket Keeper,Mumbai Indians,15.25,2022
Ishan Porel,Indian,Bowler,Punjab Kings,0.25,2022
Ishan Porel,,Bowler,Punjab Kings,0.2,
