Player,Nationality,Role,Team,Price,Season
Ishank Jaggi,Indian,Batsman,Kolkata Knight Riders,0.1,2017
Ishank Jaggi,Indian,Batsman,Kolkata Knight Riders,0.2,2018
Ishant Sharma,Indian,Bowler,Sunrisers Hyderabad,2.6,2014
Ishant Sharma,Indian,Bowler,Rising Pune Supergiants,3.8,2016
Ishant Sharma,Indian,Bowler,Delhi Capitals,1.1,2019
Ishwar Chandra Pandey,Indian,Bowler,Chennai Super Kings,1.5,2014
Ishwar Chandra Pandey,Indian,Bowler,Rising Pune Supergiants,0.2,2016
Isuru Udana,Overseas,All-Rounder,Royal Challengers Bengaluru,0.5,2020
J Suchith,Indian,Bowler,Sunrisers Hyderabad,0.3,2021
J Suchith,Indian,All-Rounder,Mumbai Indians,0.1,2015
Jacob Oram,Overseas,All-Rounder,Mumbai Indians,0.375,2013
Jacques Kallis,Overseas,All-Rounder,Kolkata Knight Riders,5.5,2014
Jagadeesha Suchith,Indian,Bowler,Sunrisers Hyderabad,0.2,2022
Jalaj Saxena,Indian,All-Rounder,Mumbai Indians,0.9,2014
Jalaj Saxena,Indian,All-Rounder,Royal Challengers Bengaluru,0.1,2015
Jalaj Saxena,Indian,All-Rounder,Delhi Capitals,0.2,2019
Jalaj Saxena,Indian,All-Rounder,Punjab Kings,0.3,2021
James Faulkner,Overseas,All-Rounder,Rajasthan Royals,3,2013
James Neesham,Overseas,All-Rounder,Delhi Capitals,1,2014
James Neesham,Overseas,All-Rounder,Kolkata Knight Riders,0.5,2015
James Neesham,Overseas,All-Rounder,Punjab Kings,0.5,2020
James Neesham,Overseas,All-Rounder,Mumbai Indians,0.5,2021
James Neesham,Overseas,All-Rounder,Rajasthan Royals,1.5,2022
Jaskaran Singh,Indian,Bowler,Rising Pune Supergiants,0.1,2016
Jason Behrendorff,Overseas,Bowler,Mumbai Indians,1.5,2018
Jason Behrendorff,Overseas,Bowler,Royal Challengers Bengaluru,0.75,2022
Jason Holder,Overseas,Bowler,Chennai Super Kings,0.15,2013
Jason Holder,Overseas,Bowler,Sunrisers Hyderabad,0.75,2014
Jason Holder,Overseas,All-Rounder,Kolkata Knight Riders,0.7,2016
Jason Holder,Overseas,All-Rounder,Lucknow Super Giants,8.75,2022
Jason Roy,Overseas,Batsman,Gujarat Lions,1,2017
Jason Roy,Overseas,Batsman,Delhi Capitals,1.5,2018
Jason Roy,Overseas,Batsman,Delhi Capitals,1.5,2020
Jason Roy,Overseas,Batsman,Gujarat Titans,2,2022
Jasprit Bumrah,Indian,Bowler,Mumbai Indians,1.2,2014
Jatin Saxena,Indian,All-Rounder,Rajasthan Royals,0.2,2018
Javon Searless,Indian,All-Rounder,Kolkata Knight Riders,0.3,2018
Jayant Yadav,Indian,All-Rounder,Delhi Capitals,0.1,2014
Jayant Yadav,Indian,All-Rounder,Delhi Capitals,0.5,2018
Jayant Yadav,Indian,All-Rounder,Gujarat Titans,1.7,2022
Jaydev Shah,Indian,All-Rounder,Gujarat Lions,0.2,2016
Jaydev Unadkat,Indian,Bowler,Royal Challengers Bengaluru,3.9375,2013
Jaydev Unadkat,Indian,Bowler,Delhi Capitals,2.8,2014
Jaydev Unadkat,Indian,Bowler,Delhi Capitals,1.1,2015
Jaydev Unadkat,Indian,Bowler,Kolkata Knight Riders,1.6,2016
Jaydev Unadkat,Indian,Bowler,Rising Pune Supergiants,0.3,2017
Jaydev Unadkat,Indian,Bowler,Rajasthan Royals,11.5,2018
Jaydev Unadkat,Indian,Bowler,Rajasthan Royals,8.4,2019
Jaydev Unadkat,Indian,Bowler,Rajasthan Royals,3,2020
Jaydev Unadkat,Indian,Bowler,Mumbai Indians,1.3,2022
Jean-Paul Duminy,Overseas,Batsman,Delhi Capitals,2.2,2014
Jean-Paul Duminy,Overseas,All-Rounder,Mumbai Indians,1,2018
Jeevan Mendis,Overseas,All-Rounder,Delhi Capitals,0.375,2013
Jesse Ryder,Overseas,All-Rounder,Delhi Capitals,1.95,2013
Jhye Richardson,Overseas,Bowler,Punjab Kings,14,2021
Jitesh Sharma,Indian,Wicket Keeper,Mumbai Indians,0.1,2016
Jitesh Sharma,Indian,Wicket Keeper,Punjab Kings,0.2,2022
Joe Denly,Overseas,Batsman,Kolkata Knight Riders,1,2019
Joel Paris,Overseas,Bowler,Delhi Capitals,0.3,2016
Jofra Archer,Overseas,All-Rounder,Rajasthan Royals,7.2,2018
Jofra Archer,Overseas,All-Rounder,Mumbai Indians,8,2022
Johan Botha,Overseas,All-Rounder,Delhi Capitals,3.375,2013
John Hastings,Overseas,All-Rounder,Chennai Super Kings,0.5,2014
John Hastings,Overseas,Bowler,Kolkata Knight Riders,1.3,2016
Jonny Bairstow,Overseas,Wicket Keeper,Sunrisers Hyderabad,2.2,2019
Jonny Bairstow,Overseas,Wicket Keeper,Punjab Kings,6.75,2022
Jos Buttler,Overseas,Wicket Keeper,Mumbai Indians,3.8,2016
Jos Buttler,Overseas,Wicket Keeper,Rajasthan Royals,4.4,2018
Josh Hazlewood,Overseas,Bowler,Mumbai Indians,0.5,2014
Josh Hazlewood,Overseas,Bowler,Chennai Super Kings,2,2020
Josh Hazlewood,Overseas,Bowler,Royal Challengers Bengaluru,7.75,2022
Joshua Philippe,Overseas,Wicket Keeper,Royal Challengers Bengaluru,0.2,2020
Juan Theron,Overseas,Bowler,Rajasthan Royals,0.3,2015
Krishnappa Gowtham,Indian,All-Rounder,Lucknow Super Giants,0.9,2022
K.Bhagath Varma,Indian,All-Rounder,Chennai Super Kings,0.2,2021
K.Bhagath Varma,Indian,All-Rounder,Chennai Super Kings,0.2,2022
K.C Cariappa,Indian,Bowler,Rajasthan Royals,0.2,2021
K.C Cariappa,Indian,Bowler,Rajasthan Royals,0.3,2022
K.C. Cariappa,Indian,Bowler,Kolkata Knight Riders,2.4,2015
K.C. Cariappa,Indian,Bowler,Punjab Kings,0.8,2016
K.K. Jiyaz,Indian,Bowler,Delhi Capitals,0.1,2015
K.M. Asif,Indian,Bowler,Chennai Super Kings,0.2,2022
K.S. Bharat,Indian,Wicket Keeper,Delhi Capitals,2,2022
Kagiso Rabada,Overseas,Bowler,Delhi Capitals,5,2017
Kagiso Rabada,Overseas,Bowler,Delhi Capitals,4.2,2018
Kagiso Rabada,Overseas,Bowler,Punjab Kings,9.25,2022
Kamlesh Nagarkoti,Indian,All-Rounder,Kolkata Knight Riders,3.2,2018
Kamlesh Nagarkoti,Indian,All-Rounder,Delhi Capitals,1.1,2022
Kane Richardson,Overseas,Bowler,Pune Warriors India,5.25,2013
Kane Richardson,Overseas,Bowler,Rajasthan Royals,1,2014
Kane Richardson,Overseas,Bowler,Royal Challengers Bengaluru,2,2016
Kane Richardson,Overseas,Bowler,Royal Challengers Bengaluru,4,2020
Kane Williamson,Overseas,All-Rounder,Sunrisers Hyderabad,0.6,2015
Kane Williamson,Overseas,Batsman,Sunrisers Hyderabad,3,2018
Kanishk Seth,Indian,All-Rounder,Chennai Super Kings,0.2,2018
Karan Sharma,Indian,All-Rounder,Lucknow Super Giants,0.2,2022
Karanveer Singh,Indian,All-Rounder,Punjab Kings,0.1,2014
Karn Sharma,Indian,Bowler,Sunrisers Hyderabad,3.75,2014
Karn Sharma,Indian,All-Rounder,Mumbai Indians,3.2,2017
Karn Sharma,Indian,Bowler,Chennai Super Kings,5,2018
Karn Sharma,Indian,Bowler,Royal Challengers Bengaluru,0.5,2022
Kartik Tyagi,Indian,Bowler,Rajasthan Royals,1.3,2020
Kartik Tyagi,Indian,Bowler,Sunrisers Hyderabad,4,2022
Karun Nair,Indian,Batsman,Rajasthan Royals,0.75,2014
Karun Nair,Indian,Batsman,Delhi Capitals,4,2016
Karun Nair,Indian,Batsman,Punjab Kings,5.6,2018
Karun Nair,Indian,Batsman,Kolkata Knight Riders,0.5,2021
Karun Nair,Indian,Batsman,Rajasthan Royals,1.4,2022
Kedar Jadhav,Indian,Batsman,Delhi Capitals,2,2014
Kedar Jadhav,Indian,All-Rounder,Chennai Super Kings,7.8,2018
Kedar Jadhav,Indian,All-Rounder,Sunrisers Hyderabad,2,2021
Keemo Paul,Overseas,All-Rounder,Delhi Capitals,0.5,2019
Kevin Pietersen,Overseas,Batsman,Delhi Capitals,9,2014
Kevin Pietersen,Overseas,Batsman,Sunrisers Hyderabad,2,2015
Kevin Pietersen,Overseas,Batsman,Rising Pune Supergiants,3.5,2016
Kevon Cooper,Overseas,All-Rounder,Rajasthan Royals,0.3,2014
Kieron Pollard,Overseas,All-Rounder,Mumbai Indians,5.4,2018
Kishore Pramod Kamath,Indian,All-Rounder,Mumbai Indians,1.4,2016
KL Rahul,Indian,Batsman,Sunrisers Hyderabad,1,2014
KL Rahul,Indian,Batsman,Punjab Kings,11,2018
Kona Srikar Bharat,Indian,Wicket Keeper,Delhi Capitals,0.1,2015
Kona Srikar Bharat,Indian,Wicket Keeper,Royal Challengers Bengaluru,0.2,2021
Krishnappa Gowtham,Indian,All-Rounder,Mumbai Indians,2,2017
Krishnappa Gowtham,Indian,Bowler,Rajasthan Royals,6.2,2018
Krishnappa Gowtham,Indian,All-Rounder,Chennai Super Kings,9.25,2021
Krismar Santokie,Overseas,Bowler,Mumbai Indians,0.3,2014
Krunal Pandya,Indian,All-Rounder,Mumbai Indians,2,2016
Krunal Pandya,Indian,All-Rounder,Mumbai Indians,8.8,2018
Krunal Pandya,Indian,All-Rounder,Lucknow Super Giants,8.25,2022
Kshitiz Sharma,Indian,All-Rounder,Chennai Super Kings,0.2,2018
Kuldeep Sen,Indian,Bowler,Rajasthan Royals,0.2,2022
Kuldeep Yadav,Indian,Bowler,Kolkata Knight Riders,0.4,2014
Kuldeep Yadav,Indian,Bowler,Kolkata Knight Riders,5.8,2018
Kuldeep Yadav,Indian,Bowler,Delhi Capitals,2,2022
Kuldip Yadav,Indian,Bowler,Rajasthan Royals,0.2,2021
Kuldip Yadav,Indian,Bowler,Rajasthan Royals,0.2,2022
Kulwant Khejroliya,Indian,Bowler,Mumbai Indians,0.1,2017
Kulwant Khejroliya,Indian,Bowler,Royal Challengers Bengaluru,0.85,2018
Kusal Janith Perera,Indian,Wicket Keeper,Rajasthan Royals,0.15,2013
Kyle Abbott,Overseas,Bowler,Chennai Super Kings,0.3,2015
Kyle Abbott,Overseas,Bowler,Punjab Kings,2.1,2016
Kyle Jamieson,Overseas,All-Rounder,Royal Challengers Bengaluru,15,2021
Kyle Mayers,Overseas,All-Rounder,Lucknow Super Giants,0.5,2022
Lakshmipathy Balaji,Indian,Bowler,Punjab Kings,1.8,2014
Lalit Yadav,Indian,All-Rounder,Delhi Capitals,0.2,2020
Lalit Yadav,Indian,All-Rounder,Delhi Capitals,0.65,2022
Lasith Malinga,Overseas,Bowler,Mumbai Indians,2,2019
Laxmi Ratan Shukla,Indian,All-Rounder,Delhi Capitals,1.5,2014
Laxmi Ratan Shukla,Indian,All-Rounder,Sunrisers Hyderabad,0.3,2015
Liam Livingstone,Overseas,All-Rounder,Rajasthan Royals,0.5,2019
Liam Livingstone,Overseas,All-Rounder,Rajasthan Royals,0.75,2021
Liam Livingstone,Overseas,All-Rounder,Punjab Kings,11.5,2022
Lockie Ferguson,Overseas,Bowler,Rising Pune Supergiants,0.5,2017
Lockie Ferguson,Overseas,Bowler,Kolkata Knight Riders,1.6,2019
Lockie Ferguson,Overseas,Bowler,Gujarat Titans,10,2022
Luke Pomersbach,Overseas,Batsman,Punjab Kings,2.25,2013
Lukman Hussain Meriwala,Indian,Bowler,Delhi Capitals,0.2,2021
Lungisani Ngidi,Overseas,Bowler,Chennai Super Kings,0.5,2018
Lungisani Ngidi,Overseas,Bowler,Delhi Capitals,0.5,2022
Luvnith Sisodia,Indian,Wicket Keeper,Royal Challengers Bengaluru,0.2,2022
M Siddharth,Indian,Bowler,Kolkata Knight Riders,0.2,2020
M Siddharth,Indian,Bowler,Delhi Capitals,0.2,2021
M. Ashwin,Indian,Bowler,Rising Pune Supergiants,4.5,2016
M. Ashwin,Indian,Bowler,Delhi Capitals,1,2017
M. Ashwin,Indian,Bowler,Royal Challengers Bengaluru,2.2,2018
M. Ashwin,Indian,Bowler,Punjab Kings,0.2,2019
M. Harisankar Reddy,Indian,Bowler,Chennai Super Kings,0.2,2021
Washington Sundar,Indian,All-Rounder,Royal Challengers Bengaluru,3.2,2018
Maheesh Theekshana,Overseas,Bowler,Chennai Super Kings,0.7,2022
Mahipal Lomror,Indian,All-Rounder,Delhi Capitals,0.1,2016
Mahipal Lomror,Indian,All-Rounder,Rajasthan Royals,0.2,2018
Mahipal Lomror,Indian,All-Rounder,Royal Challengers Bengaluru,0.95,2022
Manan Ajay Sharma,Indian,All-Rounder,Kolkata Knight Riders,0.1,2016
Manan Vohra,Indian,Batsman,Royal Challengers Bengaluru,1.1,2018
Manan Vohra,Indian,Batsman,Rajasthan Royals,0.2,2019
Manan Vohra,Indian,Batsman,Lucknow Super Giants,0.2,2022
Mandeep Hardev Singh,Indian,All-Rounder,Punjab Kings,0.8,2014
Mandeep Singh,Indian,All-Rounder,Royal Challengers Bengaluru,1.4,2018
Mandeep Singh,Indian,Batsman,Delhi Capitals,1.1,2022
Manish Pandey,Indian,Batsman,Kolkata Knight Riders,1.7,2014
Manish Pandey,Indian,Batsman,Sunrisers Hyderabad,11,2018
Manish Pandey,Indian,Batsman,Lucknow Super Giants,4.6,2022
Manjot Kalra,Indian,Batsman,Delhi Capitals,0.2,2018
Manoj Tiwary,Indian,Batsman,Delhi Capitals,2.8,2014
Manoj Tiwary,Indian,Batsman,Rising Pune Supergiants,0.5,2017
Manoj Tiwary,Indian,Batsman,Punjab Kings,1,2018
Manpreet Gony,Indian,Bowler,Punjab Kings,3.75,2013
Manpreet Gony,Indian,Bowler,Gujarat Lions,0.6,2017
Manprit Juneja,Indian,Batsman,Sunrisers Hyderabad,0.1,2014
Manvinder Bisla,Indian,Wicket Keeper,Kolkata Knight Riders,0.6,2014
Manzoor Dar,Indian,All-Rounder,Punjab Kings,0.2,2018
Marchant De Lange,Overseas,Bowler,Mumbai Indians,0.3,2014
Marco Jansen,Overseas,All-Rounder,Mumbai Indians,0.2,2021
Marco Jansen,Overseas,All-Rounder,Sunrisers Hyderabad,4.2,2022
Marcus Stoinis,Overseas,All-Rounder,Delhi Capitals,0.25,2015
Marcus Stoinis,Overseas,All-Rounder,Punjab Kings,0.55,2016
Marcus Stoinis,Overseas,All-Rounder,Punjab Kings,6.2,2018
Marcus Stoinis,Overseas,All-Rounder,Delhi Capitals,4.8,2020
Mark Wood,Overseas,Bowler,Chennai Super Kings,1.5,2018
Mark Wood,Overseas,Bowler,Lucknow Super Giants,7.5,2022
Martin Guptill,Overseas,Batsman,Punjab Kings,0.5,2017
Martin Guptill,Overseas,Batsman,Sunrisers Hyderabad,1,2019
Matt Henry,Overseas,Bowler,Chennai Super Kings,0.3,2014
Matt Henry,Overseas,Bowler,Punjab Kings,0.5,2017
Matthew Wade,Overseas,Wicket Keeper,Gujarat Titans,2.4,2022
Mayank Agarwal,Indian,Batsman,Delhi Capitals,1.6,2014
Mayank Agarwal,Indian,Batsman,Punjab Kings,1,2018
Mayank Dagar,Indian,All-Rounder,Punjab Kings,0.2,2018
Mayank Markande,Indian,Bowler,Mumbai Indians,0.2,2018
Mayank Markande,Indian,Bowler,Mumbai Indians,0.65,2022
Mayank Yadav,Indian,Bowler,Lucknow Super Giants,0.2,2022
Michael Clarke,Overseas,Batsman,Pune Warriors India,3,2013
Michael Hussey,Overseas,Batsman,Mumbai Indians,5,2014
Michael Hussey,Overseas,Batsman,Chennai Super Kings,1.5,2015
Midhun S,Indian,All-Rounder,Rajasthan Royals,0.2,2018
Milind Kumar,Indian,Batsman,Delhi Capitals,0.1,2014
Milind Kumar,Indian,All-Rounder,Royal Challengers Bengaluru,0.2,2019
Milind Tandon,Indian,All-Rounder,Rising Pune Supergiants,0.1,2017
Mitchell Johnson,Overseas,All-Rounder,Punjab Kings,6.5,2014
Mitchell Johnson,Overseas,Bowler,Mumbai Indians,2,2017
Mitchell Johnson,Overseas,Bowler,Kolkata Knight Riders,2,2018
Mitchell Marsh,Overseas,All-Rounder,Rising Pune Supergiants,4.8,2016
Mitchell Marsh,Overseas,All-Rounder,Sunrisers Hyderabad,2,2020
Mitchell Marsh,Overseas,All-Rounder,Delhi Capitals,6.5,2022
Mitchell McClenaghan,Overseas,Bowler,Mumbai Indians,0.3,2015
Mitchell Santner,Overseas,All-Rounder,Chennai Super Kings,0.5,2018
Mitchell Santner,Overseas,All-Rounder,Chennai Super Kings,1.9,2022
Mitchell Starc,Overseas,Bowler,Royal Challengers Bengaluru,5,2014
Mitchell Starc,Overseas,Bowler,Kolkata Knight Riders,9.4,2018
Mithun Manhas,Indian,All-Rounder,Chennai Super Kings,0.3,2014
Moeen Ali,Overseas,All-Rounder,Royal Challengers Bengaluru,1.7,2018
Moeen Ali,Overseas,All-Rounder,Chennai Super Kings,7,2021
Mohammad Nabi,Overseas,All-Rounder,Sunrisers Hyderabad,0.3,2017
Mohammad Nabi,Overseas,All-Rounder,Sunrisers Hyderabad,1,2018
Mohammad Nabi,Overseas,All-Rounder,Kolkata Knight Riders,1,2022
Mohammad Shami,Indian,Bowler,Delhi Capitals,4.25,2014
Mohammad Shami,Indian,Bowler,Delhi Capitals,3,2018
Mohammad Shami,Indian,Bowler,Punjab Kings,4.8,2019
Mohammad Shami,Indian,Bowler,Gujarat Titans,6.25,2022
Mohammed Azharudeen,Indian,Wicket Keeper,Royal Challengers Bengaluru,0.2,2021
Mohammed Siraj,Indian,Bowler,Sunrisers Hyderabad,2.6,2017
Mohammed Siraj,Indian,Bowler,Royal Challengers Bengaluru,2.6,2018
Mohd. Arshad Khan,Indian,All-Rounder,Mumbai Indians,0.2,2022
Mohit Sharma,Indian,Bowler,Chennai Super Kings,2,2014
Mohit Sharma,Indian,Bowler,Punjab Kings,6.5,2016
Mohit Sharma,Indian,Bowler,Punjab Kings,2.4,2018
Mohit Sharma,Indian,Bowler,Chennai Super Kings,5,2019
Mohit Sharma,Indian,Bowler,Delhi Capitals,0.5,2020
Mohsin Khan,Indian,Bowler,Mumbai Indians,0.2,2018
Mohsin Khan,Indian,Bowler,Mumbai Indians,0.2,2020
Mohsin Khan,Indian,Bowler,Lucknow Super Giants,0.2,2022
Moises Henriques,Overseas,All-Rounder,Royal Challengers Bengaluru,2.25,2013
Moises Henriques,Overseas,All-Rounder,Sunrisers Hyderabad,1,2014
Moises Henriques,Overseas,All-Rounder,Punjab Kings,1,2019
Moises Henriques,Overseas,All-Rounder,Punjab Kings,4.2,2021
Monu Singh,Indian,Bowler,Chennai Super Kings,0.2,2018
Morne Morkel,Overseas,Bowler,Kolkata Knight Riders,2.8,2014
Mujeeb Zadran,Overseas,Bowler,Punjab Kings,4,2018
Mujeeb Zadran,Overseas,Bowler,Sunrisers Hyderabad,1.5,2021
Mukesh Choudhary,Indian,Bowler,Chennai Super Kings,0.2,2022
Munaf Patel,Indian,Bowler,Gujarat Lions,0.3,2017
Murali Kartik,Indian,Bowler,Punjab Kings,1,2014
Murali Vijay,Indian,Batsman,Delhi Capitals,5,2014
Murali Vijay,Indian,Batsman,Punjab Kings,3,2015
Murali Vijay,Indian,Batsman,Chennai Super Kings,2,2018
Murugan Ashwin,Indian,Bowler,Mumbai Indians,1.6,2022
Mustafizur Rahman,Overseas,Bowler,Sunrisers Hyderabad,1.4,2016
Mustafizur Rahman,Overseas,Bowler,Mumbai Indians,2.2,2018
Mustafizur Rahman,Overseas,Bowler,Rajasthan Royals,1,2021
Mustafizur Rahman,Overseas,Bowler,Delhi Capitals,2,2022
Muttiah Muralitharan,Overseas,Bowler,Royal Challengers Bengaluru,1,2014
N Jagadeesan,Indian,Wicket Keeper,Chennai Super Kings,0.2,2018
N. Jagadeesan,Indian,Wicket Keeper,Chennai Super Kings,0.2,2022
N. Tilak Varma,Indian,All-Rounder,Mumbai Indians,1.7,2022
Naman Ojha,Indian,Wicket Keeper,Sunrisers Hyderabad,0.5,2014
Naman Ojha,Indian,Wicket Keeper,Delhi Capitals,1.4,2018
Nathan Coulter-Nile,Overseas,Bowler,Mumbai Indians,3.375,2013
Nathan Coulter-Nile,Overseas,Bowler,Delhi Capitals,4.25,2014
Nathan Coulter-Nile,Overseas,Bowler,Kolkata Knight Riders,3.5,2017
Nathan Coulter-Nile,Overseas,Bowler,Royal Challengers Bengaluru,2.2,2018
Nathan Coulter-Nile,Overseas,Bowler,Mumbai Indians,8,2020
Nathan Coulter-Nile,Overseas,Bowler,Mumbai Indians,5,2021
Nathan Coulter-Nile,Overseas,Bowler,Rajasthan Royals,2,2022
Nathan Ellis,Overseas,Bowler,Punjab Kings,0.75,2022
Nathan McCullum,Overseas,Bowler,Sunrisers Hyderabad,0.75,2013
Nathu Singh,Indian,Bowler,Mumbai Indians,3.2,2016
Nathu Singh,Indian,Bowler,Gujarat Lions,0.5,2017
Nathu Singh,Indian,Bowler,Delhi Capitals,0.2,2019
Navdeep Saini,Indian,Bowler,Delhi Capitals,0.1,2017
Navdeep Saini,Indian,Bowler,Royal Challengers Bengaluru,3,2018
Navdeep Saini,Indian,Bowler,Rajasthan Royals,2.6,2022
Nic Maddinson,Overseas,Batsman,Royal Challengers Bengaluru,0.5,2014
Nicolas Pooran,Overseas,Wicket Keeper,Sunrisers Hyderabad,10.75,2022
Nicolas Pooran,Overseas,Wicket Keeper,Mumbai Indians,0.3,2017
Nicolas Pooran,Overseas,Wicket Keeper,Punjab Kings,4.2,2019
Nidheesh M D Dinesan,Indian,Bowler,Mumbai Indians,0.2,2018
Nikhil Shankar Naik,Indian,Wicket Keeper,Punjab Kings,0.3,2015
Nikhil Shankar Naik,Indian,Wicket Keeper,Kolkata Knight Riders,0.2,2019
Nikhil Shankar Naik,Indian,Wicket Keeper,Kolkata Knight Riders,0.2,2020
Nitish Rana,Indian,All-Rounder,Mumbai Indians,0.1,2015
Nitish Rana,Indian,All-Rounder,Kolkata Knight Riders,3.4,2018
Nitish Rana,Indian,All-Rounder,Kolkata Knight Riders,8,2022
Noor Ahmad,Overseas,Bowler,Gujarat Titans,0.3,2022
Obed Mccoy,Overseas,Bowler,Rajasthan Royals,0.75,2022
Odean Smith,Overseas,All-Rounder,Punjab Kings,6,2022
Oshane Thomas,Overseas,Bowler,Rajasthan Royals,1.1,2019
Oshane Thomas,Overseas,Bowler,Rajasthan Royals,0.5,2020
Pankaj Jaswal,Overseas,All-Rounder,Mumbai Indians,0.2,2019
Pankaj Singh,Indian,Bowler,Royal Challengers Bengaluru,1.125,2013
Paras Dogra,Indian,Batsman,Gujarat Lions,0.1,2016
Pardeep Sahu,Indian,All-Rounder,Rajasthan Royals,0.1,2015
Pardeep Sahu,Indian,All-Rounder,Punjab Kings,0.1,2016
Pardeep Sahu,Indian,Bowler,Punjab Kings,0.2,2018
Parthiv Patel,Indian,Wicket Keeper,Royal Challengers Bengaluru,1.4,2014
Parthiv Patel,Indian,Wicket Keeper,Royal Challengers Bengaluru,1.7,2018
Parveez Rasool,Indian,All-Rounder,Sunrisers Hyderabad,0.95,2014
Parvinder Awana,Indian,Bowler,Punjab Kings,0.65,2014
Pat Cummins,Overseas,Bowler,Mumbai Indians,5.4,2018
Pat Cummins,Overseas,All-Rounder,Kolkata Knight Riders,15.5,2020
Pat Cummins,Overseas,All-Rounder,Kolkata Knight Riders,7.25,2022
Pat Cummins,Overseas,Bowler,Kolkata Knight Riders,1,2014
