Player,Nationality,Role,Team,Price,Season
Yashasvi Jaiswal,Indian,All-Rounder,Rajasthan Royals,2.4,2020
Yogesh Gowalkar,Indian,All-Rounder,Punjab Kings,0.1,2015
Yogesh Takawale,Indian,Wicket Keeper,Royal Challengers Bengaluru,0.1,2014
Yudhvir Charak,Indian,All-Rounder,Mumbai Indians,0.2,2021
Yusuf Pathan,Indian,All-Rounder,Kolkata Knight Riders,3.25,2014
Yusuf Pathan,Indian,All-Rounder,Sunrisers Hyderabad,1.9,2018
Yuvraj Singh,Indian,All-Rounder,Royal Challengers Bengaluru,14,2014
Yuvraj Singh,Indian,Batsman,Delhi Capitals,16,2015
Yuvraj Singh,Indian,All-Rounder,Sunrisers Hyderabad,7,2016
Yuvraj Singh,Indian,All-Rounder,Punjab Kings,2,2018
Yuvraj Singh,Indian,All-Rounder,Mumbai Indians,1,2019
Yuzvendra Chahal,Indian,Bowler,Rajasthan Royals,6.5,2022
Yuzvendra Singh Chahal,Indian,Bowler,Royal Challengers Bengaluru,0.1,2014
Yuzvendra Singh Chahal,Indian,Bowler,Royal Challengers Bengaluru,6,2018
Zaheer Khan,Indian,Bowler,Mumbai Indians,2.6,2014
Zaheer Khan,Indian,Bowler,Delhi Capitals,4,2015
Zahir Khan Pakteen,Indian,Bowler,Rajasthan Royals,0.6,2018
Harshit Rana,India,Bowler,KKR,0.2,2023
Ekant Sen,India,Batter,,,2023
Wayne Parnell,South Africa,Allrounder,,,2023
Shakib Al Hasan,Bangladesh,Allrounder,KKR,1.5,2023
Joe Root,England,Batter,RR,1,2023
Abdul Basith,India,Allrounder,RR,0.2,2023
Prashant Chopra,India,Allrounder,,,2023
Akeal Hosein,West Indies,Bowler,SRH,1,2023
Raghav Goyal,India,Bowler,MI,0.2,2023
Yudhvir Singh Charak,India,Allrounder,LSG,0.2,2023
Luke Wood,England,Bowler,,,2023
Dilshan Madushanka,Sri Lanka,Bowler,,,2023
Naveen-ul-Haq,Afghanistan,Allrounder,LSG,0.5,2023
Akash Singh,India,Bowler,,,2023
Akash Vashist,India,Allrounder,RR,0.2,2023
Suryansh Shedge,India,Allrounder,,,2023
Johnson Charles,West Indies,Wk-Batter,,,2023
Rassie van der Dussen,South Africa,Batter,,,2023
Mandeep Singh,India,Batter,KKR,0.5,2023
Murugan Ashwin,India,Bowler,RR,0.2,2023
KM Asif,India,Bowler,RR,0.3,2023
Dinesh Bana,India,Wk-Batter,,,2023
Anmolpreet Singh,India,Batter,SRH,0.2,2023
Adam Zampa,Australia,Bowler,RR,1.5,2023
Kusal Mendis,Sri Lanka,Wk-Batter,,,2023
Litton Das,Bangladesh,Wk-Batter,KKR,0.5,2023
Rilee Rossouw,South Africa,Batter,DC,4.6,2023
Shivam Singh,India,Allrounder,PBKS,0.2,2023
Mohit Rathee,India,Allrounder,PBKS,0.2,2023
Bhagath Varma,India,Allrounder,CSK,0.2,2023
Nehal Wadhera,India,Allrounder,MI,0.2,2023
Shubhang Hegde,India,Allrounder,,,2023
Sonu Yadav,India,Allrounder,RCB,0.2,2023
Deepesh Nainwal,India,Allrounder,,,2023
Trilok Nag,India,Bowler,,,2023
Shubham Kapse,India,Bowler,,,2023
Utkarsh Singh,India,Allrounder,,,2023
Jitender Pal,India,Allrounder,,,2023
Kunal Singh Rathore,India,Wk-Batter,RR,0.2,2023
Ajay Jadav Mandal,India,Allrounder,CSK,0.2,2023
Kulwant Khejroliya,India,Bowler,KKR,0.2,2023
Balu Surya,India,Allrounder,,,2023
Sanjay Raghunath,India,Batter,,,2023
Priyank Panchal,India,Batter,,,2023
Varun Aaron,India,Allrounder,,,2023
Tom Curran,England,Allrounder,,,2023
Rehan Ahmed,England,Allrounder,,,2023
Avinash Singh,India,Bowler,RCB,0.6,2023
Nitish Reddy,India,Wk-Batter,SRH,0.2,2023
G Ajitesh,India,Wk-Batter,,,2023
Sanjay Yadav,India,Allrounder,,,2023
David Wiese,Namibia,Allrounder,KKR,1,2023
Sumeet Verma,India,Allrounder,,,2023
Swapnil Singh,India,Allrounder,LSG,0.2,2023
Shams Mulani,India,Allrounder,MI,0.2,2023
Himanshu Bisht,India,Allrounder,,,2023
Mohit Sharma,India,Bowler,GT,0.5,2023
Joshua Little,Ireland,Bowler,GT,4.4,2023
Richard Gleeson,England,Bowler,,,2023
Jamie Overton,England,Allrounder,,,2023
Suyash Sharma,India,Bowler,KKR,0.2,2023
Yuvraj Chudasama,India,Bowler,,,2023
Tejas Baroka,India,Bowler,,,2023
Paul van Meekeren,Netherlands,Bowler,,,2023
Rajan Kumar,India,Bowler,RCB,0.7,2023
Vidhwath Kaverappa,India,Bowler,PBKS,0.2,2023
Vishnu Vinod,India,Wk-Batter,MI,0.2,2023
Karan Shinde,India,Wk-Batter,,,2023
Urvil Patel,India,Wk-Batter,GT,0.2,2023
Baba Indrajith,India,Wk-Batter,,,2023
Donavon Ferreira,South Africa,Wk-Batter,RR,0.5,2023
Jagadeesha Suchith,India,Allrounder,,,2023
Prerak Mankad,India,Allrounder,LSG,0.2,2023
Duan Jansen,South Africa,Allrounder,MI,0.2,2023
Mayank Dagar,India,Allrounder,SRH,1.8,2023
Manoj Bhandage,India,Allrounder,RCB,0.2,2023
Will Smeed,England,Batter,,,2023
Harpreet Singh Bhatia,India,Batter,PBKS,0.4,2023
Piyush Chawla,India,Bowler,MI,0.5,2023
Amit Mishra,India,Bowler,LSG,0.5,2023
Kyle Jamieson,New Zealand,Allrounder,CSK,1,2023
Blessing Muzarabani,Zimbabwe,Bowler,,,2023
Dushmantha Chameera,Sri Lanka,Bowler,,,2023
Taskin Ahmed,Bangladesh,Bowler,,,2023
Sandeep Sharma,India,Bowler,,,2023
Riley Meredith,Australia,Bowler,,,2023
Dasun Shanaka,Sri Lanka,Allrounder,,,2023
James Neesham,New Zealand,Allrounder,,,2023
Mohammad Nabi,Afghanistan,Allrounder,,,2023
Daniel Sams,Australia,Allrounder,LSG,0.75,2023
Daryl Mitchell,New Zealand,Allrounder,,,2023
Romario Shepherd,West Indies,Bowler,LSG,0.5,2023
Dawid Malan,England,Batter,,,2023
Travis Head,Australia,Allrounder,,,2023
Will Jacks,England,Allrounder,RCB,3.2,2023
Sherfane Rutherford,West Indies,Allrounder,,,2023
Manish Pandey,India,Batter,DC,2.4,2023
Paul Stirling,Ireland,Allrounder,,,2023
Himanshu Sharma,India,Bowler,RCB,0.2,2023
Sudhesan Midhun,India,Bowler,,,2023
Shreyas Gopal,India,Bowler,,,2023
Izharulhaq Naveed,Afghanistan,Bowler,,,2023
Chintal Gandhi,India,Bowler,,,2023
Mukesh Kumar,India,Bowler,DC,5.5,2023
Shivam Mavi,India,Bowler,GT,6,2023
N Jagadeesan,India,Wk-Batter,KKR,0.9,2023
Lance Morris,Australia,Bowler,,,2023
Mujtaba Yousuf,India,Bowler,,,2023
Yash Thakur,India,Bowler,LSG,0.45,2023
Vaibhav Arora,India,Allrounder,KKR,0.6,2023
Mohammed Azharuddeen,India,Wk-Batter,,,2023
Upendra Yadav,India,Wk-Batter,SRH,0.25,2023
Srikar Bharat,India,Wk-Batter,GT,1.2,2023
Sanvir Singh,India,Allrounder,SRH,0.2,2023
Sumit Kumar,India,Wk-Batter,,,2023
Shashank Singh,India,Allrounder,,,2023
Nishant Sindhu,India,Allrounder,CSK,0.6,2023
Abhimanyu Easwaran,India,Wk-Batter,,,2023
Corbin Bosch,South Africa,Allrounder,,,2023
Saurabh Kumar,India,Allrounder,,,2023
Samarth Vyas,India,Allrounder,SRH,0.2,2023
Priyam Garg,India,Batter,,,2023
Vivrant Sharma,India,Allrounder,SRH,2.6,2023
Himmat Singh,India,Batter,,,2023
Shaik Rasheed,India,Batter,CSK,0.2,2023
Rohan Kunnummal,India,Batter,,,2023
Shubham Khajuria,India,Batter,,,2023
Odean Smith,West Indies,Allrounder,GT,0.5,2023
LR Chethan,India,Batter,,,2023
Kane Williamson,New Zealand,Batter,GT,2,2023
Ajinkya Rahane,India,Batter,CSK,0.5,2023
Mayank Agarwal,India,Batter,SRH,8.25,2023
Jason Holder,West Indies,Allrounder,RR,5.75,2023
Ishant Sharma,India,Bowler,DC,0.5,2023
Jaydev Unadkat,India,Bowler,LSG,0.5,2023
Mayank Markande,India,Bowler,SRH,0.5,2023
Nicholas Pooran,West Indies,Wk-Batter,LSG,16,2023
Mujeeb Ur Rahman,Afghanistan,Bowler,,,2023
Tabraiz Shamsi,South Africa,Bowler,,,2023
Adil Rashid,England,Bowler,SRH,2,2023
Jhye Richardson,Australia,Bowler,MI,1.5,2023
Adam Milne,New Zealand,Bowler,,,2023
Reece Topley,England,Bowler,RCB,1.9,2023
Chris Jordan,England,Bowler,,,2023
Philip Salt,England,Batter,DC,2,2023
Tom Banton,England,Wk-Batter,,,2023
Heinrich Klaasen,South Africa,Wk-Batter,SRH,5.25,2023
Ben Stokes,England,Allrounder,CSK,16.25,2023
Cameron Green,Australia,Allrounder,MI,17.5,2023
Sikandar Raza,Zimbabwe,Allrounder,PBKS,0.5,2023
Sam Curran,England,Allrounder,PBKS,18.5,2023
Harry Brook,England,Batter,SRH,13.25,2023
Rajat Patidar,India,Batter,RCB,0.2,2023
Matheesha Pathirana,Sri Lanka,Bowler,CSK,0.2,2023
Tristan Stubbs,South Africa,Wk-Batter,MI,0.2,2023
Ravi Bishnoi,India,Bowler,LSG,4,2023
Yash Dhull,India,Batter,DC,0.5,2023
Akash Madhwal,India,Bowler,MI,0.2,2023
Kumar Kartikeya,India,Allrounder,MI,0.2,2023
Shahbaz Ahmed,India,Allrounder,RCB,2.4,2023
Rahul Tripathi,India,Batter,SRH,8.5,2023
Abhinav Manohar Sadarangani,India,Batter,GT,2.6,2023
Harpreet Brar,India,Bowler,PBKS,3.8,2023
Dewald Brevis,South Africa,Batter,MI,3,2023
Deepak Hooda,India,Allrounder,LSG,5.75,2023
Dhruv Jurel,India,Wk-Batter,RR,0.2,2023
Mukesh Choudhary,India,Bowler,CSK,0.2,2023
Tim David,Singapore,Allrounder,MI,8.25,2023
Atharva Taide,India,Allrounder,PBKS,0.2,2023
Praveen Dubey,India,Bowler,DC,0.5,2023
Sai Sudharsan,India,Batter,GT,0.2,2023
Sarfaraz Khan,India,Batter,DC,0.2,2023
Kuldeep Yadav,India,Bowler,DC,2,2023
Subhranshu Senapati,India,Batter,CSK,0.2,2023
Obed McCoy,West Indies,Bowler,RR,0.75,2023
Siddarth Kaul,India,Bowler,RCB,0.75,2023
Fazalhaq Farooqi,Afghanistan,Bowler,SRH,0.5,2023
Shahrukh Khan,India,Batter,PBKS,9,2023
Kamlesh Nagarkoti,India,Bowler,DC,1.1,2023
Riyan Parag,India,Allrounder,RR,3.8,2023
Abhishek Sharma,India,Allrounder,SRH,6.5,2023
Rahul Tewatia,India,Allrounder,GT,9,2023
Anuj Rawat,India,Wk-Batter,RCB,3.4,2023
Rahul Chahar,India,Bowler,PBKS,5.25,2023
Yuzvendra Chahal,India,Bowler,RR,6.5,2023
Umesh Yadav,India,Bowler,KKR,2,2023
Mark Wood,England,Bowler,LSG,7.5,2023
Jitesh Sharma,India,Wk-Batter,PBKS,0.2,2023
Nathan Ellis,Australia,Bowler,PBKS,0.75,2023
Prabhsimran Singh,India,Wk-Batter,PBKS,0.6,2023
Ramandeep Singh,India,Batter,MI,0.2,2023
Mustafizur Rahman,Bangladesh,Bowler,DC,2,2023
Suyash Prabhudessai,India,Batter,RCB,0.3,2023
Tushar Deshpande,India,Bowler,CSK,0.2,2023
Avesh Khan,India,Bowler,LSG,10,2023
Ravisrinivasan Sai Kishore,India,Bowler,GT,3,2023
Glenn Phillips,New Zealand,Wk-Batter,SRH,1.5,2023
Mitchell Santner,New Zealand,Allrounder,CSK,1.9,2023
Ayush Badoni,India,Allrounder,LSG,0.2,2023
Rishi Dhawan,India,Allrounder,PBKS,0.55,2023
Tim Southee,New Zealand,Bowler,KKR,1.5,2023
Jofra Archer,England,Bowler,MI,8,2023
Alzarri Joseph,West Indies,Bowler,GT,2.4,2023
Rovman Powell,West Indies,Batter,DC,2.8,2023
Bhanuka Rajapaksa,Sri Lanka,Batter,PBKS,0.5,2023
Devon Conway,New Zealand,Batter,CSK,1,2023
Prashant Solanki,India,Bowler,CSK,1.2,2023
Finn Allen,New Zealand,Wk-Batter,RCB,0.8,2023
Mayank Yadav,India,Bowler,LSG,0.2,2023
Pradeep Sangwan,India,Bowler,GT,0.2,2023
Mohsin Khan,India,Bowler,LSG,0.2,2023
Simarjeet Singh,India,Bowler,CSK,0.2,2023
T Natarajan,India,Bowler,SRH,4,2023
Kuldeep Sen,India,Bowler,RR,0.2,2023
Kartik Tyagi,India,Bowler,SRH,4,2023
Bhuvneshwar Kumar,India,Bowler,SRH,4.2,2023
Prasidh Krishna,India,Bowler,RR,10,2023
Noor Ahmad,Afghanistan,Bowler,GT,0.3,2023
Josh Hazlewood,Australia,Bowler,RCB,7.75,2023
Yash Dayal,India,Bowler,GT,3.2,2023
KC Cariappa,India,Bowler,RR,0.3,2023
Tilak Varma,India,Batter,MI,1.7,2023
Anukul Roy,India,Allrounder,KKR,0.2,2023
Deepak Chahar,India,Bowler,CSK,14,2023
Ripal Patel,India,Allrounder,DC,0.2,2023
Matthew Wade,Australia,Wk-Batter,GT,2.4,2023
Wriddhiman Saha,India,Wk-Batter,GT,1.9,2023
Vicky Ostwal,India,Allrounder,DC,0.2,2023
Ambati Rayudu,India,Wk-Batter,CSK,6.75,2023
Darshan Nalkande,India,Bowler,GT,0.2,2023
Ishan Kishan,India,Wk-Batter,MI,15.25,2023
Mahipal Lomror,India,Allrounder,RCB,0.95,2023
Dinesh Karthik,India,Wk-Batter,RCB,5.5,2023
Rajvardhan Hangargekar,India,Bowler,CSK,1.5,2023
Jonny Bairstow,England,Wk-Batter,PBKS,6.75,2023
Washington Sundar,India,Allrounder,SRH,8.75,2023
Raj Bawa,India,Bowler,PBKS,2,2023
Manan Vohra,India,Batter,LSG,0.2,2023
Nitish Rana,India,Allrounder,KKR,8,2023
Rinku Singh,India,Batter,KKR,0.55,2023
Harshal Patel,India,Bowler,RCB,10.75,2023
Krunal Pandya,India,Allrounder,LSG,8.25,2023
Maheesh Theekshana,Sri Lanka,Bowler,CSK,0.7,2023
Mitchell Marsh,Australia,Allrounder,DC,6.5,2023
Karn Sharma,India,Bowler,RCB,0.5,2023
Chetan Sakariya,India,Bowler,DC,4.2,2023
Navdeep Saini,India,Bowler,RR,2.6,2023
Lungi Ngidi,South Africa,Bowler,DC,0.5,2023
Khaleel Ahmed,India,Bowler,DC,5.25,2023
Jayant Yadav,India,Allrounder,GT,1.7,2023
Vijay Shankar,India,Allrounder,GT,1.4,2023
Liam Livingstone,England,Allrounder,PBKS,11.5,2023
David Willey,England,Allrounder,RCB,2,2023
Marco Jansen,South Africa,Allrounder,SRH,4.2,2023
Krishnappa Gowtham,India,Allrounder,LSG,0.9,2023
Karan Sharma,India,Allrounder,LSG,0.2,2023
Shivam Dube,India,Allrounder,CSK,4,2023
Mohd Arshad Khan,India,Bowler,MI,0.2,2023
Lalit Yadav,India,Allrounder,DC,0.65,2023
Baltej Singh,India,Allrounder,PBKS,0.2,2023
Aiden Markram,South Africa,Batter,SRH,2.6,2023
Kyle Mayers,West Indies,Allrounder,LSG,0.5,2023
Arjun Tendulkar,India,Allrounder,MI,0.3,2023
Hrithik Shokeen,India,Allrounder,MI,0.2,2023
Kuldip Yadav,India,Bowler,RR,0.2,2023
Wanindu Hasaranga,Sri Lanka,Allrounder,RCB,10.75,2023
Devdutt Padikkal,India,Batter,RR,7.75,2023
David Miller,South Africa,Batter,GT,3,2023
Shimron Hetmyer,West Indies,Batter,RR,8.5,2023
David Warner,Australia,Batter,DC,6.25,2023
Mohammed Shami,India,Bowler,GT,6.25,2023
Kagiso Rabada,South Africa,Bowler,PBKS,9.25,2023
Shreyas Iyer,India,Batter,KKR,12.25,2023
Faf du Plessis,South Africa,Batter,RCB,7,2023
Shikhar Dhawan,India,Batter,PBKS,8.25,2023
Quinton de Kock,South Africa,Wk-Batter,LSG,6.75,2023
Trent Boult,New Zealand,Bowler,RR,8,2023
Umran Malik,India,Bowler,SRH,4,2023
Abdul Samad,India,Allrounder,SRH,4,2023
Ravichandran Ashwin,India,Allrounder,RR,5,2023
Mohammed Siraj,India,Bowler,RCB,7,2023
Glenn Maxwell,Australia,Allrounder,RCB,11,2023
Virat Kohli,India,Batter,RCB,15,2023
Yashasvi Jaiswal,India,Batter,RR,4,2023
Jos Buttler,England,Wk-Batter,RR,10,2023
Sanju Samson,India,Wk-Batter,RR,14,2023
Arshdeep Singh,India,Bowler,PBKS,4,2023
Suryakumar Yadav,India,Batter,MI,8,2023
Jasprit Bumrah,India,Bowler,MI,12,2023
Akash Deep,India,Bowler,RCB,0.2,2023
Rohit Sharma,India,Batter,MI,16,2023
Dwaine Pretorius,South Africa,Allrounder,CSK,0.5,2023
KL Rahul,India,Wk-Batter,LSG,17,2023
Marcus Stoinis,Australia,Allrounder,LSG,9.2,2023
Sunil Narine,West Indies,Allrounder,KKR,6,2023
Venkatesh Iyer,India,Allrounder,KKR,8,2023
Ravindra Jadeja,India,Allrounder,CSK,16,2023
Varun Chakaravarthy,India,Bowler,KKR,8,2023
Andre Russell,West Indies,Allrounder,KKR,12,2023
Shubman Gill,India,Batter,GT,8,2023
Rashid Khan,Afghanistan,Bowler,GT,15,2023
Hardik Pandya,India,Allrounder,GT,15,2023
Anrich Nortje,South Africa,Bowler,DC,6.5,2023
Prithvi Shaw,India,Batter,DC,7.5,2023
MS Dhoni,India,Wk-Batter,CSK,12,2023
Moeen Ali,England,Allrounder,CSK,8,2023
Ruturaj Gaikwad,India,Batter,CSK,6,2023
Rishabh Pant,India,Wk-Batter,DC,16,2023
Axar Patel,India,Allrounder,DC,9,2023
Daryl Mitchell,Overseas,All-Rounder,Chennai Super Kings,14,2024
Sameer Rizvi,Indian,Batter,Chennai Super Kings,8.4,2024
Shardul Thakur,Indian,All-Rounder,Chennai Super Kings,4,2024
Mustafizur Rahman,Overseas,Bowler,Chennai Super Kings,2,2024
Rachin Ravindra,Overseas,All-Rounder,Chennai Super Kings,1.8,2024
Avanish Rao Aravelly,Indian,Wicket-Keeper,Chennai Super Kings,0.2,2024
Kumar Kushagra,Indian,Wicket-Keeper,Delhi Capitals,7.2,2024
Jhye Richardson,Overseas,Bowler,Delhi Capitals,5,2024
Harry Brook,Overseas,Batter,Delhi Capitals,4,2024
Sumit Kumar,Indian,All-Rounder,Delhi Capitals,1,2024
Shai Hope,Overseas,Wicket-Keeper,Delhi Capitals,0.75,2024
Tristan Stubbs,Overseas,Wicket-Keeper,Delhi Capitals,0.5,2024
Ricky Bhui,Indian,Wicket-Keeper,Delhi Capitals,0.2,2024
Swastik Chhikara,Indian,Batter,Delhi Capitals,0.2,2024
Rasikh Dar,Indian,Bowler,Delhi Capitals,0.2,2024
Spencer Johnson,Overseas,Bowler,Gujarat Titans,10,2024
Shahrukh Khan,Indian,All-Rounder,Gujarat Titans,7.4,2024
Umesh Yadav,Indian,Bowler,Gujarat Titans,5.8,2024
Robin Minz,Indian,Wicket-Keeper,Gujarat Titans,3.6,2024
Sushant Mishra,Indian,Bowler,Gujarat Titans,2.2,2024
Kartik Tyagi,Indian,Bowler,Gujarat Titans,0.6,2024
Azmatullah Omarzai,Overseas,All-Rounder,Gujarat Titans,0.5,2024
Manav Suthar,Indian,Bowler,Gujarat Titans,0.2,2024
Mitchell Starc,Overseas,Bowler,Kolkata Knight Riders,24.75,2024
Mujeeb Rahman,Overseas,Bowler,Kolkata Knight Riders,2,2024
Sherfane Rutherford,Overseas,Batter,Kolkata Knight Riders,1.5,2024
Gus Atkinson,Overseas,Bowler,Kolkata Knight Riders,1,2024
Manish Pandey,Indian,Batter,Kolkata Knight Riders,0.5,2024
K.S. Bharat,Indian,Wicket-Keeper,Kolkata Knight Riders,0.5,2024
Chetan Sakariya,Indian,Bowler,Kolkata Knight Riders,0.5,2024
Angkrish Raghuvanshi,Indian,Batter,Kolkata Knight Riders,0.2,2024
Ramandeep Singh,Indian,All-Rounder,Kolkata Knight Riders,0.2,2024
Sakib Hussain,Indian,Bowler,Kolkata Knight Riders,0.2,2024
Shivam Mavi,Indian,Bowler,Lucknow Super Giants,6.4,2024
M. Siddharth,Indian,Bowler,Lucknow Super Giants,2.4,2024
David Willey,Overseas,All-Rounder,Lucknow Super Giants,2,2024
Ashton Turner,Overseas,Batter,Lucknow Super Giants,1,2024
Arshin Kulkarni,Indian,All-Rounder,Lucknow Super Giants,0.2,2024
Mohd. Arshad Khan,Indian,All-Rounder,Lucknow Super Giants,0.2,2024
Gerald Coetzee,Overseas,All-Rounder,Mumbai Indians,5,2024
Nuwan Thushara,Overseas,Bowler,Mumbai Indians,4.8,2024
Dilshan Madushanka,Overseas,Bowler,Mumbai Indians,4.6,2024
Mohammad Nabi,Overseas,All-Rounder,Mumbai Indians,1.5,2024
Shreyas Gopal,Indian,Bowler,Mumbai Indians,0.2,2024
Shivalik Sharma,Indian,All-Rounder,Mumbai Indians,0.2,2024
Anshul Kamboj,Indian,All-Rounder,Mumbai Indians,0.2,2024
Naman Dhir,Indian,All-Rounder,Mumbai Indians,0.2,2024
Harshal Patel,Indian,All-Rounder,Punjab Kings,11.75,2024
Rilee Rossouw,Overseas,Batter,Punjab Kings,8,2024
Chris Woakes,Overseas,All-Rounder,Punjab Kings,4.2,2024
Tanay Thyagarajann,Indian,All-Rounder,Punjab Kings,0.2,2024
Vishwanath Pratap Singh,Indian,All-Rounder,Punjab Kings,0.2,2024
Ashutosh Sharma,Indian,All-Rounder,Punjab Kings,0.2,2024
Shashank Singh,Indian,Batter,Punjab Kings,0.2,2024
Prince Choudhary,Indian,Bowler,Punjab Kings,0.2,2024
Rovman Powell,Overseas,Batter,Rajasthan Royals,7.4,2024
Shubham Dubey,Indian,Batter,Rajasthan Royals,5.8,2024
Nandre Burger,Overseas,Bowler,Rajasthan Royals,0.5,2024
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,Rajasthan Royals,0.4,2024
Abid Mushtaq,Indian,All-Rounder,Rajasthan Royals,0.2,2024
Alzarri Joseph,Overseas,Bowler,Royal Challengers Bengaluru,11.5,2024
Yash Dayal,Indian,Bowler,Royal Challengers Bengaluru,5,2024
Lockie Ferguson,Overseas,Bowler,Royal Challengers Bengaluru,2,2024
Tom Curran,Overseas,All-Rounder,Royal Challengers Bengaluru,1.5,2024
Saurav Chuahan,Indian,Batter,Royal Challengers Bengaluru,0.2,2024
Swapnil Singh,Indian,All-Rounder,Royal Challengers Bengaluru,0.2,2024
Pat Cummins,Overseas,All-Rounder,Sunrisers Hyderabad,20.5,2024
Travis Head,Overseas,Batter,Sunrisers Hyderabad,6.8,2024
Jaydev Unadkat,Indian,Bowler,Sunrisers Hyderabad,1.6,2024
Wanindu Hasaranga,Overseas,All-Rounder,Sunrisers Hyderabad,1.5,2024
Jhathavedh Subramanyan,Indian,Bowler,Sunrisers Hyderabad,0.2,2024
Akash Singh,Indian,Bowler,Sunrisers Hyderabad,0.2,2024
Virat Kohli,Indian,Bat,RCB,21,2025
Rajat Patidar,Indian,Bat,RCB,11,2025
Yash Dayal,Indian,Bowl,RCB,5,2025
Jasprit Bumrah,Indian,Bowl,MI,18,2025
Suryakumar Yadav,Indian,Bat,MI,16.35,2025
Hardik Pandya,Indian,Ar,MI,16.35,2025
Rohit Sharma,Indian,Bat,MI,16.3,2025
Tilak Varma,Indian,Ar,MI,8,2025
Heinrich Klaasen,Overseas,Bat,SRH,23,2025
Pat Cummins,Overseas,Ar,SRH,18,2025
Abhishek Sharma,Indian,Ar,SRH,14,2025
Travis Head,Overseas,Bat,SRH,14,2025
Nitish Kumar Reddy,Indian,Ar,SRH,6,2025
Ruturaj Gaikwad,Indian,Bat,CSK,18,2025
Ravindra Jadeja,Indian,Ar,CSK,18,2025
Matheesha Pathirana,Overseas,Bowl,CSK,13,2025
Shivam Dube,Indian,Ar,CSK,12,2025
MS Dhoni,Indian,Bat,CSK,4,2025
Axar Patel,Indian,Ar,DC,16.5,2025
