Player,Nationality,Role,Team,Price,Season
Ollie Pope,,Bat,-,,2025
Kyle Verreynne,,Bat,-,,2025
Fazalhaq Farooqi,Overseas,Bowl,RR,2,2025
Richard Gleeson,,Bowl,-,,2025
Matt Henry,,Bowl,-,,2025
Alzarri Joseph,,Bowl,-,,2025
Kwena Maphaka,Overseas,Bowl,RR,1.5,2025
Kuldeep Sen,Indian,Bowl,PBKS,0.8,2025
Reece Topley,Overseas,Bowl,MI,0.75,2025
Lizaad Williams,Overseas,Bowl,MI,0.75,2025
Luke Wood,,Bowl,-,,2025
Sachin Dhas,,Bat,-,,2025
Leus du Plooy,,Bat,-,,2025
Ashwin Hebbar,,Bat,-,,2025
Rohan  Kunnummal,,Bat,-,,2025
Ayush Pandey,,Bat,-,,2025
Akshat Raghuwanshi,,Bat,-,,2025
Shoun Roger,,Bat,-,,2025
Virat Singh,,Bat,-,,2025
Priyansh Arya,Indian,Ar,PBKS,3.8,2025
Manoj Bhandage,Indian,Ar,RCB,0.3,2025
Praveen Dubey,Indian,Ar,PBKS,0.3,2025
Ajay Mandal,Indian,Ar,DC,0.3,2025
Prerak Mankad,,Ar,-,,2025
Vipraj Nigam,Indian,Ar,DC,0.5,2025
Vicky Ostwal,,Ar,-,,2025
Shivalik Sharma,,Ar,-,,2025
Salil Arora,,Bat,-,,2025
Dinesh Bana,,Bat,-,,2025
Guruswamy Ajitesh,,Bat,-,,2025
Narayan Jagadeesan,,Bat,-,,2025
Krishnan Shrijith,Indian,Bat,MI,0.3,2025
Michael Pepper,,Bat,-,,2025
Vishnu Solanki,,Bat,-,,2025
KM Asif,,Bowl,-,,2025
Akhil Chaudhary,,Bowl,-,,2025
Himanshu Chauhan,,Bowl,-,,2025
Arpit Guleria,,Bowl,-,,2025
Saranu Nishanth,,Bowl,-,,2025
Kuldip Yadav,,Bowl,-,,2025
Prithvi Raj,,Bowl,-,,2025
Shubham Agarwal,,Bowl,-,,2025
Jasinder Singh,,Bowl,-,,2025
Jasmer Dhankhar,,Bowl,-,,2025
Pulkit Narang,,Bowl,-,,2025
Saumy Pandey,,Bowl,-,,2025
Mohit Rathee,Indian,Bowl,RCB,0.3,2025
Himanshu Singh,,Bowl,-,,2025
Towhid Hridoy,,Bat,-,,2025
Mikyle Louis,,Bat,-,,2025
Harry Tector,,Bat,-,,2025
Rassie van der Dussen,,Bat,-,,2025
Will Young,,Bat,-,,2025
Najibullah Zadran,,Bat,-,,2025
Ibrahim Zadran,,Bat,-,,2025
Sean Abbott,,Ar,-,,2025
Jacob Bethell,Overseas,Ar,RCB,2.6,2025
Brydon Carse,Overseas,Ar,SRH,1,2025
Aaron Hardie,Overseas,Ar,PBKS,1.25,2025
Sarfaraz Khan,,Ar,-,,2025
Kyle Mayers,,Ar,-,,2025
Kamindu Mendis,Overseas,Ar,SRH,0.75,2025
Matthew Short,,Ar,-,,2025
Jason Behrendorff,,Bowl,-,,2025
Dushmantha Chameera,Overseas,Bowl,DC,0.75,2025
Nathan Ellis,Overseas,Bowl,CSK,2,2025
Shamar Joseph,Overseas,Bowl,LSG,0.75,2025
Josh Little,,Bowl,-,,2025
Shivam Mavi,,Bowl,-,,2025
Jhye Richardson,,Bowl,-,,2025
Navdeep Saini,,Bowl,-,,2025
Tanmay Agarwal,,Bat,-,,2025
Amandeep Khare,,Bat,-,,2025
Ayush Mhatre,,Bat,-,,2025
Salman Nizar,,Bat,-,,2025
Aniket Verma,Indian,Bat,SRH,0.3,2025
Sumeet Verma,,Bat,-,,2025
Manan Vohra,,Bat,-,,2025
Samarth Vyas,,Bat,-,,2025
RajBawa,Indian,Ar,MI,0.3,2025
Emanjot Singh Chahal,,Ar,-,,2025
Musheer Khan,Indian,Ar,PBKS,0.3,2025
Manvanth Kumar,Indian,Ar,DC,0.3,2025
Mayank Rawat,,Ar,-,,2025
Suryansh Shedge,Indian,Ar,PBKS,0.3,2025
Hrithik Shokeen,,Ar,-,,2025
Sonu Yadav,,Ar,-,,2025
Rithik Easwaran,,Bat,-,,2025
Anmol Malhotra,,Bat,-,,2025
Pradosh Ranjan Paul,,Bat,-,,2025
Karteek Sharma,,Bat,-,,2025
Akash Singh,,Bat,-,,2025
Tejasvi Singh,,Bat,-,,2025
Siddarth Yadav,,Bat,-,,2025
Saurabh Dubey,,Bowl,-,,2025
Aaqib Khan,,Bowl,-,,2025
Kulwant Khejroliya,Indian,Bowl,GT,0.3,2025
Ankit Rajpoot,,Bowl,-,,2025
Divesh Sharma,,Bowl,-,,2025
Naman Tiwari,,Bowl,-,,2025
Prince Yadav,Indian,Bowl,LSG,0.3,2025
Kunal Singh Chibb,,Bowl,-,,2025
Yuvraj Chudasama,,Bowl,-,,2025
Deepak Devadiga,,Bowl,-,,2025
Ramesh Prasad,,Bowl,-,,2025
Shivam Shukla,,Bowl,-,,2025
Himanshu Singh,,Bowl,-,,2025
Tejpreet Singh,,Bowl,-,,2025
Qais Ahmad,,Ar,-,,2025
Charith Asalanka,,Ar,-,,2025
Michael Bracewell,,Ar,-,,2025
Gudakesh Motie,,Ar,-,,2025
Dan Mousley,,Ar,-,,2025
Jamie Overton,Overseas,Ar,CSK,1.5,2025
Dunith Wellalage,,Ar,-,,2025
Ottneil Baartman,,Bowl,-,,2025
Xavier Bartlett,Overseas,Bowl,PBKS,0.8,2025
Dilshan Madushanka,,Bowl,-,,2025
Adam Milne,,Bowl,-,,2025
Lungi Ngidi,Overseas,Bowl,RCB,1,2025
William ORourke,,Bowl,-,,2025
Chetan Sakariya,,Bowl,-,,2025
Sandeep Warrier,,Bowl,-,,2025
Musaif Ajaz,,Bat,-,,2025
Agni Chopra,,Bat,-,,2025
Abhimanyu Easwaran,,Bat,-,,2025
Sudip Kumar Gharami,,Bat,-,,2025
Shubham Khajuria,,Bat,-,,2025
Akhil Rawat,,Bat,-,,2025
Prateek Yadav,,Bat,-,,2025
Abdul Basith,,Ar,-,,2025
KC Cariappa,,Ar,-,,2025
Yuvraj Chaudhary,Indian,Ar,LSG,,2025
Aman Khan,,Ar,-,,2025
Sumit Kumar,,Ar,-,,2025
Kamlesh Nagarkoti,Indian,Ar,CSK,0.3,2025
Hardik Raj,,Ar,-,,2025
Harsh Tyagi,,Ar,-,,2025
M Ajnas,,Bat,-,,2025
Unmukt Chand,,Bat,-,,2025
Tejasvi Dahiya,,Bat,-,,2025
Sumit Ghadigaonkar,,Bat,-,,2025
Baba Indrajith,,Bat,-,,2025
Muhammed Adnan Khan,,Bat,-,,2025
Bhagmender Lather,,Bat,-,,2025
Baltej Singh,,Bowl,-,,2025
Ali Khan,,Bowl,-,,2025
Ravi Kumar,,Bowl,-,,2025
Vineet Panwar,,Bowl,-,,2025
Vidyadhar Patil,,Bowl,-,,2025
Aaradhya Shukla,,Bowl,-,,2025
Abhinandan Singh,Indian,Bowl,RCB,0.3,2025
Cooper Connolly,,Ar,-,,2025
Dushan Hemantha,,Ar,-,,2025
Jason Holder,,Ar,-,,2025
Karim Janat,Overseas,Ar,GT,0.75,2025
James Neesham,,Ar,-,,2025
Daniel Sams,,Ar,-,,2025
Will Sutherland,,Ar,-,,2025
Taskin Ahmed,,Bowl,-,,2025
Ben Dwarshuis,,Bowl,-,,2025
Obed McCoy,,Bowl,-,,2025
Riley Meredith,,Bowl,-,,2025
Lance Morris,,Bowl,-,,2025
Olly Stone,,Bowl,-,,2025
Daniel Worrall,,Bowl,-,,2025
Pyla Avinash,Indian,Bat,PBKS,0.3,2025
Kiran Chormale,,Bat,-,,2025
Ashish Dahariya,,Bat,-,,2025
Tushar Raheja,,Bat,-,,2025
Sarthak Ranjan,,Bat,-,,2025
Abhijeet Tomar,,Bat,-,,2025
Krish Bhagat,,Ar,-,,2025
Sohraab Dhaliwal,,Ar,-,,2025
Harsh Dubey,,Ar,-,,2025
Ramakrishna Ghosh,Indian,Ar,CSK,0.3,2025
Raj Limbani,,Ar,-,,2025
Ninad Rathva,,Ar,-,,2025
Vivrant Sharma,,Ar,-,,2025
Shiva Singh,,Ar,-,,2025
Sayed Irfan Aftab,,Bowl,-,,2025
Anirudh Chowdhary,,Bowl,-,,2025
Siddarth Kaul,,Bowl,-,,2025
Prashant Painkra,,Bowl,-,,2025
Satyanarayana Raju,Indian,Bowl,MI,0.3,2025
Yeddala Reddy,,Bowl,-,,2025
Zakary Foulkes,,Ar,-,,2025
Chris Green,,Ar,-,,2025
Shakib Al Hasan,,Ar,-,,2025
Mehidy Hasan Miraz,,Ar,-,,2025
Wiaan Mulder,,Ar,-,,2025
Dwaine Pretorius,,Ar,-,,2025
Dasun Shanaka,,Ar,-,,2025
Shoriful Islam,,Bowl,-,,2025
Blessing Muzarabani,,Bowl,-,,2025
Matthew Potts,,Bowl,-,,2025
Tanzim Hasan Sakib,,Bowl,-,,2025
Ben Sears,,Bowl,-,,2025
Tim Southee,,Bowl,-,,2025
John Turner,,Bowl,-,,2025
Joshua Brown,,Bat,-,,2025
Oliver Davies,,Bat,-,,2025
Bevon Jacobs,Overseas,Bat,MI,0.3,2025
Atharva Kale,,Bat,-,,2025
Abhishek Nair,,Bat,-,,2025
Vishwanath Singh,,Bat,-,,2025
Lone Nasir,,Ar,-,,2025
Brandon McMullen,,Ar,-,,2025
Sudhesan Midhun,,Ar,-,,2025
Abid Mushtaq,,Ar,-,,2025
Mahesh Pithiya,,Ar,-,,2025
Maramreddy Reddy,,Ar,-,,2025
Atit Sheth,,Ar,-,,2025
Jonty Sidhu,,Ar,-,,2025
Mohit Avasthi,,Bowl,-,,2025
Faridoon Dawoodzai,,Bowl,-,,2025
Praful Hinge,,Bowl,-,,2025
Pankaj Jaswal,,Bowl,-,,2025
Vijay Kumar,,Bowl,-,,2025
Ashok Sharma,Indian,Bowl,RR,0.3,2025
Mujtaba Yousuf,,Bowl,-,,2025
Ashton Agar,,Ar,-,,2025
Roston Chase,,Ar,-,,2025
Junior Dala,,Ar,-,,2025
Mahedi Hasan,,Ar,-,,2025
Nangeyalia Kharote,,Ar,-,,2025
Dan Lawrence,,Ar,-,,2025
Nathan Smith,,Ar,-,,2025
James Anderson,,Bowl,-,,2025
Kyle Jamieson,,Bowl,-,,2025
Chris Jordan,,Bowl,-,,2025
Hasan Mahmud,,Bowl,-,,2025
Tymal Mills,,Bowl,-,,2025
David Payne,,Bowl,-,,2025
Nahid Rana,,Bowl,-,,2025
Prayas Ray Barman,,Bat,-,,2025
Jafar Jamal,,Bat,-,,2025
Ayaz Khan,,Bat,-,,2025
Kaushik Maity,,Bat,-,,2025
Rituraj Sharma,,Bat,-,,2025
Vaibhav Suryavanshi,Indian,Bat,RR,1.1,2025
Kartik Chadha,,Ar,-,,2025
Writtick Chatterjee,,Ar,-,,2025
Prerit Dutta,,Ar,-,,2025
Rajneesh Gurbani,,Ar,-,,2025
Shubhang Hegde,,Ar,-,,2025
Saransh Jain,,Ar,-,,2025
Ripal Patel,,Ar,-,,2025
Akash Vasisht,,Ar,-,,2025
Anirudh Kanwar,,Bowl,-,,2025
Shubham Kapse,,Bowl,-,,2025
Atif Mushtaq,,Bowl,-,,2025
Dipesh Parwani,,Bowl,-,,2025
Manish Reddy,,Bowl,-,,2025
Chetan Sharma,,Bowl,-,,2025
Avinash Singh,,Bowl,-,,2025
Alick Athanaze,,Ar,-,,2025
Hilton Cartwright,,Ar,-,,2025
Dominic Drakes,,Ar,-,,2025
Daryn Dupavillon,,Bowl,-,,2025
Matthew Forde,,Ar,-,,2025
Patrick Kruger,,Ar,-,,2025
Lahiru Kumara,,Bowl,-,,2025
Michael Neser,,Ar,-,,2025
Richard Ngarava,,Bowl,-,,2025
Wayne Parnell,,Bowl,-,,2025
Keemo Paul,,Ar,-,,2025
Odean Smith,,Ar,-,,2025
Andrew Tye,,Bowl,-,,2025
Ajay Ahlawat,,Ar,-,,2025
Corbin Bosch,,Ar,-,,2025
Mayank Gusain,,Ar,-,,2025
Mukhtar Hussain,,Ar,-,,2025
Girinath Reddy,,Ar,-,,2025
Jalaj Saxena,,Ar,-,,2025
Yajas Sharma,,Ar,-,,2025
Sanjay Yadav,,Ar,-,,2025
Vishal Godara,,Bowl,-,,2025
Eshan Malinga,Overseas,Bowl,SRH,1.2,2025
Samarth Nagaraj,,Bowl,-,,2025
Abhishek Saini,,Bowl,-,,2025
Dumindu Sewmina,,Bowl,-,,2025
Pradyuman Singh,,Bowl,-,,2025
Vasu Vats,,Bowl,-,,2025
Umang Kumar,,Ar,-,,2025
Mohamed Ali,,Ar,-,,2025
Atharva Ankolekar,,Ar,-,,2025
Vaisakh Chandran,,Ar,-,,2025
Auqib Nabi,,Ar,-,,2025
Rohit Rayudu,,Ar,-,,2025
Uday Saharan,,Ar,-,,2025
Ayush Vartak,,Ar,-,,2025
Baba Aparajith,,Ar,-,,2025
Sumit Beniwal,,Ar,-,,2025
Nishunk Birla,,Ar,-,,2025
Digvijay Deshmukh,,Ar,-,,2025
Lakshay Jain,,Ar,-,,2025
Duan Jansen,,Ar,-,,2025
Kritagya Singh,,Ar,-,,2025
P Vignesh,,Ar,-,,2025
Sabhay Chadha,,Ar,-,,2025
Benny Howell,,Ar,-,,2025
Hemanth Kumar,,Ar,-,,2025
Rohan Rana,,Ar,-,,2025
Bharat Sharma,,Ar,-,,2025
Pratham Singh,,Ar,-,,2025
Tripurana Vijay,Indian,Ar,DC,0.3,2025
Ravi Kumar Yadav,,Ar,-,,2025
Arjun Azad,,Ar,-,,2025
Abhay Choudhary,,Ar,-,,2025
Gaurav Gambhir,,Ar,-,,2025
Shubham Garhwal,,Ar,-,,2025
Tejasvi Jaiswal,,Ar,-,,2025
Sairaj Patil,,Ar,-,,2025
Madhav Tiwari,Indian,Ar,DC,0.4,2025
Kamal Tripathi,,Ar,-,,2025
Prashant Chauhan,,Ar,-,,2025
Yash Dabas,Indian,Ar,-,,2025
Dhruv Kaushik,Indian,Ar,-,,2025
Khrievitso Kense,,Ar,-,,2025
Akash Parkar,Indian,Ar,-,,2025
Vignesh Puthur,Indian,Ar,MI,0.3,2025
Tripuresh Singh,Indian,Ar,-,,2025
Vijay Yadav,Indian,Ar,-,,2025
Jofra Archer,Overseas,Bowl,RR,12.5,2025
Saurabh Netravalkar,Indian,Bowl,-,,2025
Hardik Tamore,Indian,Wk,-,,2025
Daryl Mitchell,,Ar,-,,2025
